name,price,page,url,price_numeric,volume,price_log,price_scaled,price_per_volume,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
BODYZONE 16 Pieces Pink Bomb Body Mist 245ml,212.80,8,https://www.noon.com/saudi-en/search/?q=body+splash&page=8,212.8,245.0,-0.14090545307723756,1.3774205176097583,0.8685714285714287,0,1,3,2,2
BODYZONE 16 Pieces Pretty Blossom Body Mist 245ml,212.80,8,https://www.noon.com/saudi-en/search/?q=body+splash&page=8,212.8,245.0,-0.14090545307723756,1.3774205176097583,0.8685714285714287,0,1,3,2,2
BODYZONE 17 Pieces Pink Bomb Body Mist 245ml,224.40,8,https://www.noon.com/saudi-en/search/?q=body+splash&page=8,224.4,245.0,-0.08782803689618575,1.4432812079320558,0.9159183673469388,0,1,3,2,2
BODYZONE 18 Pieces Pink Bomb Body Mist 245ml,235.80,8,https://www.noon.com/saudi-en/search/?q=body+splash&page=8,235.8,245.0,-0.03827422244145644,1.5047696650370308,0.9624489795918367,0,1,3,2,2
BODYZONE 19 Pieces Pink Bomb Body Mist 245ml,247.95,8,https://www.noon.com/saudi-en/search/?q=body+splash&page=8,247.95,245.0,0.011968902390415925,1.5671134474489143,1.0120408163265306,0,1,3,2,2
BODYZONE 19 Pieces Pretty Blossom Body Mist 245ml,247.95,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,247.95,245.0,0.011968902390415925,1.5671134474489143,1.0120408163265306,0,1,3,2,2
BODYZONE 20 Pieces Pink Bomb Body Mist 245ml,258.95,8,https://www.noon.com/saudi-en/search/?q=body+splash&page=8,258.95,245.0,0.055376782325173395,1.6209757705163874,1.056938775510204,0,1,3,2,2
BODYZONE 20 Pieces Pretty Blossom Body Mist 245ml,258.95,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,258.95,245.0,0.055376782325173395,1.6209757705163874,1.056938775510204,0,1,3,2,2
BOUTIQUE 3 Pieces Swagger Body Spray 250ML And 3 Pieces Secret Bomb Body Spray 250ML And 3 Pieces Victory Body Spray 250ML And 3 Pieces Far Away Body Spray 250ML And 3 Pieces Olympic Body Spray 250ML And 3 Pieces Makhmaria Body Mist 250ML And 3 Pieces Crystal Women Body Spray 250ML And 3 Pieces Like You Belle Body Spray 250ML And 3 Pieces Love Body Spray 250ML And 3 Pieces Amerat Al Arab Body Spray 250ML,432,7,https://www.noon.com/saudi-en/search/?q=body+splash&page=7,432.0,250.0,0.5469646703818639,2.2309586971730924,1.728,0,1,3,2,2
Clean-n-Fresh Body Spray Mist For Women Fragrance Sets Pack Of 3 Each 3.4 Fl Oz Total 10.2 Oz,320,8,https://www.noon.com/saudi-en/search/?q=body+splash&page=8,320.0,100.5499,1.1576668741056904,2.988743676407975,3.182499435603616,0,1,3,2,2
Fabiola 2 Pieces Swagger Body Spray 250ML And 2 Pieces Secret Bomb Body Spray 250ML And 2 Pieces Victory Body Spray 250ML And 2 Pieces Far Away Body Spray 250ML And 2 Pieces Olympic Body Spray 250ML And 2 Pieces Makhmaria Body Mist 250ML And 2 Pieces Crystal Women Body Spray 250ML And 2 Pieces Like You Belle Body Spray 250ML And 2 Pieces Love Body Spray 250ML And 2 Pieces Amerat Al Arab Body Spray 250ML,258.95,7,https://www.noon.com/saudi-en/search/?q=body+splash&page=7,258.95,250.0,0.035174075007654085,1.5959074015932944,1.0358,0,1,3,2,2
J.CASANOVA 10 Pieces Body Splash Bakhoor Romance J Casanova 235ML,260,7,https://www.noon.com/saudi-en/search/?q=body+splash&page=7,260.0,235.0,0.10109611687136881,1.6777062436806678,1.1063829787234043,0,1,3,2,2
J.CASANOVA 10 Pieces Pomegranate Fragrant Body Splash 235ml,260,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,260.0,235.0,0.10109611687136881,1.6777062436806678,1.1063829787234043,0,1,3,2,2
J.CASANOVA 10 Pieces White Musk Fragrant Body Splash 235ml,260,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,260.0,235.0,0.10109611687136881,1.6777062436806678,1.1063829787234043,0,1,3,2,2
J.CASANOVA 11 Pieces Body Splash Bakhoor Romance J Casanova 235ML,286,6,https://www.noon.com/saudi-en/search/?q=body+splash&page=6,286.0,235.0,0.19640629667569362,1.7959711233282198,1.2170212765957447,0,1,3,2,2
J.CASANOVA 11 Pieces Body Splash White Musk 235ML,363,5,https://www.noon.com/saudi-en/search/?q=body+splash&page=5,363.0,235.0,0.43481732012069174,2.0918015482865937,1.5446808510638297,0,1,3,2,2
J.CASANOVA 11 Pieces Pomegranate Fragrant Body Splash 235ml,286,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,286.0,235.0,0.19640629667569362,1.7959711233282198,1.2170212765957447,0,1,3,2,2
J.CASANOVA 11 Pieces White Musk Fragrant Body Splash 235ml,286,5,https://www.noon.com/saudi-en/search/?q=body+splash&page=5,286.0,235.0,0.19640629667569362,1.7959711233282198,1.2170212765957447,0,1,3,2,2
