name,price,page,url,price_numeric,volume,price_per_volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
AVON Senses Simply Luxurious Body Mist 100ml,30,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,30.0,100.0,0.3,-1.2039728043259361,1.6187200244620101,1,0,1,3,0
"Amigo Force Body Splash, 250 ml",33.90,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,33.9,250.0,0.1356,-1.9980459034758418,-0.027528803069288035,0,2,0,4,0
Amigo PERFUME Splash GREEN 250ml,33.90,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,33.9,250.0,0.1356,-1.9980459034758418,-0.027528803069288035,0,2,0,4,0
Amigo body splash wild 250 ml,33.90,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,33.9,250.0,0.1356,-1.9980459034758418,-0.027528803069288035,0,2,0,4,0
BODY FANTASIES Body Fantasies Plumera Perfumed Body Spray 236 ml,34.50,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,34.5,236.0,0.1461864406779661,-1.922872480988296,0.12831850968330624,0,0,0,1,0
BOUTIQUE BOTTIQUE SECRET FLOWER WOMEN BODY SPLASH 250ML,28,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.0,250.0,0.112,-2.1892564076870427,-0.42394075646041207,0,2,2,4,0
BOUTIQUE BOUTIQUE FAR WAY BODY SPLASH 250 ML,28,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.0,250.0,0.112,-2.1892564076870427,-0.42394075646041207,0,2,2,4,0
BOUTIQUE Crystal Purple Body Splash 250ML,29.95,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,29.95,250.0,0.1198,-2.121931593300788,-0.28436494553596886,0,2,2,4,0
BOUTIQUE Crystal Women Body Splash 250ml,29.95,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,29.95,250.0,0.1198,-2.121931593300788,-0.28436494553596886,0,2,2,4,0
BOUTIQUE Like You Belle Body Splash 250ML,29.95,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,29.95,250.0,0.1198,-2.121931593300788,-0.28436494553596886,0,2,2,4,0
BOUTIQUE Lucky Girl Body Splash 250ml,29.95,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,29.95,250.0,0.1198,-2.121931593300788,-0.28436494553596886,0,2,2,4,0
BOUTIQUE Olympic Body Splash 250ML,29.95,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,29.95,250.0,0.1198,-2.121931593300788,-0.28436494553596886,0,2,2,4,0
BOUTIQUE Olympic Body Splash 250ml,29.95,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,29.95,250.0,0.1198,-2.121931593300788,-0.28436494553596886,0,2,2,4,0
BOUTIQUE Swagger Body Splash 250ML,29.95,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,29.95,250.0,0.1198,-2.121931593300788,-0.28436494553596886,0,2,2,4,0
BOUTIQUE Swagger Body Splash 250ml,29.95,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,29.95,250.0,0.1198,-2.121931593300788,-0.28436494553596886,0,2,2,4,0
Bath & Body Scent Luck' Me Fine Fragrance Mist 236ml,33.95,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,33.95,236.0,0.14385593220338985,-1.9389429510209049,0.09500168724292683,0,0,0,1,0
Bath & Body Scent Soul Life Body Mist 236 ml,33.95,7,https://www.noon.com/saudi-en/search/?q=body+splash&page=7,33.95,236.0,0.14385593220338985,-1.9389429510209049,0.09500168724292683,0,0,0,1,0
Casanova Amber Romance Fragrant Splash Body Spray 235ml,30,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,30.0,235.0,0.1276595744680851,-2.0583881324820035,-0.15262852481828743,0,2,2,4,0
Casanova Bakhour Romance Body Splash Fragrance Mist 235ml,27,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,27.0,235.0,0.1148936170212766,-2.16374864813983,-0.37105882494490794,0,2,2,4,0
Casanova Blue Splash Body Spray 235ml,25,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,25.0,235.0,0.10638297872340426,-2.2407096892759584,-0.5306121757278208,0,2,2,4,0
Casanova Blue Splash Body Spray 235ml,29,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,29.0,235.0,0.12340425531914893,-2.092289684157685,-0.22291221753792478,0,2,2,4,0
Casanova Blue Splash Body Spray 235ml,30,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,30.0,235.0,0.1276595744680851,-2.0583881324820035,-0.15262852481828743,0,2,2,4,0
Casanova Blue Splash Body Spray 235ml,31.95,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,31.95,235.0,0.13595744680851063,-1.9954133333206152,-0.022071036604115975,0,2,0,4,0
Casanova Blue Splash Body Spray 235ml,35.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,35.5,235.0,0.15106382978723404,-1.8900528176627889,0.19635926352250455,0,0,0,1,0
Casanova Body Splash 235ml,32.70,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,32.7,235.0,0.1391489361702128,-1.9722104362409512,0.02603252231712049,0,2,0,4,0
Casanova Cassis Rose Fragrant Body Splash 235ml,29.95,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,29.95,235.0,0.1274468085106383,-2.0600561895827005,-0.1560866913891202,0,2,2,4,0
Casanova Fragrant Body Splash White Musk 235ml,23,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,23.0,235.0,0.09787234042553192,-2.3240912982150093,-0.7034764574929842,0,2,2,0,0
Casanova Fragrant Body Splash With French Vanilla 235ml,20.30,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,20.3,235.0,0.08638297872340425,-2.4489646280964172,-0.9623601460693538,0,2,2,0,0
Casanova Fragrant Body Splash With Mukhallat 235ml,29,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,29.0,235.0,0.12340425531914893,-2.092289684157685,-0.22291221753792478,0,2,2,4,0
Casanova Fragrant Body Splash With Oud Exuberance 235ml,23,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,23.0,235.0,0.09787234042553192,-2.3240912982150093,-0.7034764574929842,0,2,2,0,0
Casanova Ocean Blue Body Splash 235Ml 235ml,36.45,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,36.45,235.0,0.15510638297872342,-1.8636440556894918,0.2511091265787346,0,0,0,1,0
Casanova Ocean Blue Fragrant Body Splash 235ml,28.95,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.95,235.0,0.12319148936170213,-2.0940153101251546,-0.2264897341780754,0,2,2,4,0
Casanova Pomegranate Fragrant Body Splash 235ml,28,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.0,235.0,0.11914893617021277,-2.127381003968955,-0.29566250231356345,0,2,2,4,0
Casanova Sandal Fresh Body Splash 235Ml 235ml,28.90,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,28.9,235.0,0.12297872340425531,-2.0957439190257725,-0.23007343494686966,0,2,2,4,0
J.CASANOVA Bakhoor Romance Body Splash 235Ml 325ml,33,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,33.0,235.0,0.14042553191489363,-1.9630779526776787,0.044965716722750314,0,2,0,4,0
J.CASANOVA Bakhoor Romance Fragrant Body Splash 235 ml,29.90,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,29.9,235.0,0.12723404255319148,-2.0617270337475184,-0.15955063601873132,0,2,2,4,0
J.CASANOVA Bakhoor Romance Fragrant Body Splash 235ml,26.95,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,26.95,235.0,0.11468085106382979,-2.1656022167891527,-0.37490158856322375,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - Cassis Rose 235ml,30.05,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,30.05,235.0,0.12787234042553192,-2.0567228531629422,-0.14917611706206,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - French Vanilla 235ml,27,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,27.0,235.0,0.1148936170212766,-2.16374864813983,-0.37105882494490794,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - French Vanilla 235ml,32.70,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,32.7,235.0,0.1391489361702128,-1.9722104362409512,0.02603252231712049,0,2,0,4,0
J.CASANOVA Fragrant Body Splash - Mukhallat 235ml,29.95,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,29.95,235.0,0.1274468085106383,-2.0600561895827005,-0.1560866913891202,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - Ocean Blue 235ml,31.75,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,31.75,235.0,0.1351063829787234,-2.001692788805458,-0.03508941770848082,0,2,0,4,0
J.CASANOVA Fragrant Body Splash - Oud Exuberance 235ml,29.90,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,29.9,235.0,0.12723404255319148,-2.0617270337475184,-0.15955063601873132,0,2,2,4,0
J.CASANOVA Fragrant Body Splash - Pomegranate 235ml,27.25,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,27.25,235.0,0.11595744680851064,-2.154531993034906,-0.35195112859241245,0,2,2,4,0
