name,price,page,url,price_numeric,volume,price_per_volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
Buddy Heartbeat Splash Body Spray 250 ml,65,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,65.0,250.0,0.26,-1.3470736479666092,1.3220475942860008,1,0,1,3,1
Fiestas Guirca Yellow Body Spray 75 Ml,85,9,https://www.noon.com/saudi-en/search/?q=body+splash&page=9,85.0,75.0,1.1333333333333333,0.125163142954006,4.374245299379096,1,1,3,2,1
HOLLYWOOD Hollywood Body Splash Passion Musk Shimmer 236 ml,55,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,55.0,236.0,0.2330508474576271,-1.456498619793139,1.0951909840256613,1,0,1,3,1
HOLLYWOOD Hollywood Love Me Candy Shimmer Body Splash 236 ml,55,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,55.0,236.0,0.2330508474576271,-1.456498619793139,1.0951909840256613,1,0,1,3,1
HOLLYWOOD Hollywood body splash passion musk 236 ml,55,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,55.0,236.0,0.2330508474576271,-1.456498619793139,1.0951909840256613,1,0,1,3,1
J.CASANOVA Body splash with oud scent 235 ml,42,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,42.0,235.0,0.17872340425531916,-1.7219158958607905,0.5449357493367001,0,0,0,1,1
Mia Body Splash Paris love You160ml,42,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,42.0,160.0,0.2625,-1.3375041969504586,1.3418866966713117,1,0,1,3,1
Mia Body Splash Wishes 160ml,43,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,43.0,160.0,0.26875,-1.3139736995402644,1.3906694268937942,1,0,1,3,1
Pure Beauty Body Splash 250 ml Black City For Men,45,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,45.0,250.0,0.18,-1.7147984280919266,0.559691472685127,0,0,0,1,1
Pure Beauty Body Splash 250 ml Midnight Love For Women,45,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,45.0,250.0,0.18,-1.7147984280919266,0.559691472685127,0,0,0,1,1
Pure Beauty Body Splash 250 ml Most Wanted For Men,45,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,45.0,250.0,0.18,-1.7147984280919266,0.559691472685127,0,0,0,1,1
Pure Beauty Body Splash 250 ml Passionate Love For Women,45,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,45.0,250.0,0.18,-1.7147984280919266,0.559691472685127,0,0,0,1,1
Pure Beauty Body Splash 250 ml Pure Love For Women,45,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,45.0,250.0,0.18,-1.7147984280919266,0.559691472685127,0,0,0,1,1
Pure Beauty Body Splash 250 ml Secret Love For Women,45,3,https://www.noon.com/saudi-en/search/?q=body+splash&page=3,45.0,250.0,0.18,-1.7147984280919266,0.559691472685127,0,0,0,1,1
Pure Beauty Body Splash 250 ml Sweet Love For Women,45,4,https://www.noon.com/saudi-en/search/?q=body+splash&page=4,45.0,250.0,0.18,-1.7147984280919266,0.559691472685127,0,0,0,1,1
Pure Beauty Body Splash Adventurer For Men 250 ml,47,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,47.0,250.0,0.188,-1.6713133161521878,0.649843518664899,0,0,0,1,1
Pure Beauty Body Splash Adventurer for Men 250 ML,44.50,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,44.5,250.0,0.178,-1.725971728690052,0.5365273168548762,0,0,0,1,1
Pure Beauty Body Splash Always Love For Women 250ml,46,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,46.0,250.0,0.184,-1.6928195213731514,0.6052574910465838,0,0,0,1,1
Pure Beauty Body Splash Black City For Men 250 ml,47,2,https://www.noon.com/saudi-en/search/?q=body+splash&page=2,47.0,250.0,0.188,-1.6713133161521878,0.649843518664899,0,0,0,1,1
Pure Beauty Body Splash Black City for Men 250 ML,43.85,1,https://www.noon.com/saudi-en/search/?q=body+splash&page=1,43.85,250.0,0.1754,-1.7406861990440543,0.5060217127814565,0,0,0,1,1
