Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Sephora,Concealer,https://www.sephora.me/sa-en/p/magic-touch-concealer/P10018792,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw4d9bb82c/images/hi-res/SKU/SKU_2529/561129_swatch.jpg?sw=640&sh=640&sm=fit&q=85,ANASTASIA BEVERLY HILLS Magic Touch Concealer,152.0,,5.030437921392435,0.8790442535586922,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/luminous-silk-multi-purpose-glow-concealer/P4010109,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw9a034e7c/images/hi-res/SKU/SKU_1220/505735_swatch.jpg,ARMANI Luminous Silk Multi-Purpose Glow Concealer,248.0,,5.517452896464707,1.5750691187627575,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/power-fabric-concealer/P10049287,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw3fc44ab0/images/hi-res/SKU/SKU_4418/663811_swatch.jpg,ARMANI Power Fabric Concealer,242.0,,5.493061443340548,1.5402097022317673,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/power-fabric-high-coverage-stretchable-concealer/P3607038,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwa1279d87/images/hi-res/SKU/SKU_548/467441_swatch.jpg,ARMANI Power Fabric High Coverage Stretchable Concealer,242.0,,5.493061443340548,1.5402097022317673,0,1,2,1,1
,Noon,Concealer,https://www.noon.com/saudi-en/ultimate-coverage-longwear-concealer-sesame/N30652759A/p/?o=c5e8aadac5c04baf,https://f.nooncdn.com/p/v1616071822/N30652759A_1.jpg?format=jpg&width=240,BECCA Ultimate Coverage Longwear Concealer Sesame,175.5,,5.173320876373351,1.0832476037037104,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/boi-ing-cakeless-concealer/P3787003,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwc663ad2a/images/hi-res/SKU/SKU_893/483359_swatch.jpg?sw=640&sh=640&sm=fit&q=85,BENEFIT COSMETICS Boi-Ing Cakeless Concealer,151.0,,5.0238805208462765,0.8696726447481993,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/boi-ing-industrial-strength-concealer/P2951004,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw57a4e61c/images/hi-res/SKU/SKU_4199/399013_swatch.jpg,BENEFIT COSMETICS Boi-Ing Industrial Strength Concealer,128.0,,4.859812404361672,0.6351921985493214,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/boi-ing-bright-on-concealer/P10023976,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwaea3b5bd/images/hi-res/SKU/SKU_2948/577974_swatch.jpg?sw=640&sh=640&sm=fit&q=85,BENEFIT COSMETICS Boi-ing Bright on Concealer,151.0,,5.0238805208462765,0.8696726447481993,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/creamy-corrector-corrector/P471048,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwa56d3cd5/images/hi-res/SKU/SKU_2218/217273_swatch.jpeg,BOBBI BROWN Creamy Corrector - Corrector,191.0,,5.2574953720277815,1.2035468655134747,0,1,2,1,1
,Sephora,Concealer,https://www.sephora.me/sa-en/p/skin-full-cover-concealer/P10045091,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwaadc65c4/images/hi-res/SKU/SKU_4078/643556_swatch.jpg,BOBBI BROWN Skin Full Cover Concealer,191.0,,5.2574953720277815,1.2035468655134747,0,1,2,1,1
