Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Noon,Concealer,https://www.noon.com/saudi-en/4-colour-concealer/Z5F16653360860B764DE3Z/p/?o=a7dc248dc1d87aaf,https://f.nooncdn.com/p/pzsku/Z5F16653360860B764DE3Z/45/1742509949/593d4d54-2f74-4311-b949-2a0fd7a50a89.jpg?format=jpg&width=240,ARTLOOK 4-Colour Concealer,3.95,,1.599387576580599,-4.0244935758512375,1,0,3,4,0
,Amazon,Concealer,https://www.amazon.sa/-/en/Bourjois-Always-Fabulous-Sculptor-Concealer/dp/B0CWVJ6TWC/ref=sr_1_34?dib=eyJ2IjoiMSJ9.EMoKy1h3lGgB8lX8kd1mrCbj0BrpkMc47U_9Xsj5n5w6epXvY09uQHs4ciuAiwfUc6E97HFQrXTAcdIzhS7-53q1u3Cipc8LTwuFiGOfp3x-SDreF3CB_K6cWCalx60131EtsLtAWV9zFG3XVeSdKnn1xMQCVVvTrw3YUvQPFVJl0xqzX9Ojqv-hDWud_ksD7SjiXVxysQUMXh20rwcpfD383aNcgL7FZxZCcnmIdcbpqdhi5W0GyCLasQggo4dayEkdKdhQYUlnGOPnpJw3xSTDFuiGHnM0Ekfdc7TJPGE.S63C39PoBkP1t5mfOMF33Dgf57u16UBPOGv7dvpHTuA&dib_tag=se&qid=1743936880&refinements=p_123%3A189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C408954%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-34&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/614JDQNYU+L._AC_UL320_.jpg,"Bourjois Always Fabulous Sculptor Concealer, 350 Light Sand, 10ml",40.49,10.0,3.725452434344777,-0.9859956203811547,1,0,1,2,0
,Amazon,Concealer,https://www.amazon.sa/-/en/Bourjois-Always-Fabulous-Sculptor-Concealer/dp/B0CWVK21NG/ref=sr_1_35?dib=eyJ2IjoiMSJ9.EMoKy1h3lGgB8lX8kd1mrCbj0BrpkMc47U_9Xsj5n5w6epXvY09uQHs4ciuAiwfUc6E97HFQrXTAcdIzhS7-53q1u3Cipc8LTwuFiGOfp3x-SDreF3CB_K6cWCalx60131EtsLtAWV9zFG3XVeSdKnn1xMQCVVvTrw3YUvQPFVJl0xqzX9Ojqv-hDWud_ksD7SjiXVxysQUMXh20rwcpfD383aNcgL7FZxZCcnmIdcbpqdhi5W0GyCLasQggo4dayEkdKdhQYUlnGOPnpJw3xSTDFuiGHnM0Ekfdc7TJPGE.S63C39PoBkP1t5mfOMF33Dgf57u16UBPOGv7dvpHTuA&dib_tag=se&qid=1743936880&refinements=p_123%3A189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C408954%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-35&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/61XC0MvcRLL._AC_UL320_.jpg,"Bourjois Always Fabulous Sculptor Concealer, 450 Sand, 10ml",40.5,10.0,3.7256934272366524,-0.9856512017212193,1,0,1,2,0
,Amazon,Concealer,https://www.amazon.sa/-/en/Bourjois-Healthy-Clean-Concealer-Imperfections/dp/B0BSSBK3Q4/ref=sr_1_32?dib=eyJ2IjoiMSJ9.EMoKy1h3lGgB8lX8kd1mrCbj0BrpkMc47U_9Xsj5n5w6epXvY09uQHs4ciuAiwfUc6E97HFQrXTAcdIzhS7-53q1u3Cipc8LTwuFiGOfp3x-SDreF3CB_K6cWCalx60131EtsLtAWV9zFG3XVeSdKnn1xMQCVVvTrw3YUvQPFVJl0xqzX9Ojqv-hDWud_ksD7SjiXVxysQUMXh20rwcpfD383aNcgL7FZxZCcnmIdcbpqdhi5W0GyCLasQggo4dayEkdKdhQYUlnGOPnpJw3xSTDFuiGHnM0Ekfdc7TJPGE.S63C39PoBkP1t5mfOMF33Dgf57u16UBPOGv7dvpHTuA&dib_tag=se&qid=1743936880&refinements=p_123%3A189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C408954%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-32&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/61TUVrzkXHL._AC_UL320_.jpg,"Bourjois Healthy Mix Clean Concealer - Skin Evening Face Makeup - Naturally Covers Imperfections, Dark Circles - Vitamins - Hydrating - Creamy Texture, Easy to Blend - 51 - Light Vanilla, 6ml",39.5,6.0,3.7013019741124933,-1.0205106182522095,1,0,1,2,0
,Nahdi,Concealer,https://www.nahdionline.com/en-sa/bourjois-khol-contour-002-ultra-black/pdp/101504275,"https://ecombe.nahdionline.com/media/catalog/product/b/o/bourjois-khol-contour-002-ultra-black_1_1.jpg?width=265&height=265&canvas=265,265&optimize=high&bg-color=255,255,255&fit=bounds",Bourjois Khol & Contour 002 Ultra - Black,27.29,,3.342508385313476,-1.5332859374153618,1,0,1,2,0
,Noon,Concealer,https://www.noon.com/saudi-en/concealer-full-coverage-waterproof-sweatproof-professional-long-lasting-brightening-under-eye-concealer-to-cover-acne-and-freckles-for-women/Z8E80CB5307CC390A118CZ/p/?o=z8e80cb5307cc390a118cz-1,,DEROL Concealer Full Coverage Waterproof Sweatproof Professional Long Lasting Brightening Under Eye Concealer to Cover Acne and Freckles for Women,11.9,,2.5572273113676265,-2.655582338176658,1,0,3,4,0
,Amazon,Concealer,https://www.amazon.sa/-/en/Essence-Camouflage-Healthy-Concealer-Neutral/dp/B07JHLNNBQ/ref=sr_1_40?dib=eyJ2IjoiMSJ9.EMoKy1h3lGgB8lX8kd1mrCbj0BrpkMc47U_9Xsj5n5w6epXvY09uQHs4ciuAiwfUc6E97HFQrXTAcdIzhS7-53q1u3Cipc8LTwuFiGOfp3x-SDreF3CB_K6cWCalx60131EtsLtAWV9zFG3XVeSdKnn1xMQCVVvTrw3YUvQPFVJl0xqzX9Ojqv-hDWud_ksD7SjiXVxysQUMXh20rwcpfD383aNcgL7FZxZCcnmIdcbpqdhi5W0GyCLasQggo4dayEkdKdhQYUlnGOPnpJw3xSTDFuiGHnM0Ekfdc7TJPGE.S63C39PoBkP1t5mfOMF33Dgf57u16UBPOGv7dvpHTuA&dib_tag=se&qid=1743936880&refinements=p_123%3A189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C408954%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-40&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/41huwsIULBL._AC_UL320_.jpg,Essence - Camouflage+ Healthy Glow Concealer - 20 Light Neutral,41.17,,3.7417090677584683,-0.9627622052715733,1,0,1,2,0
,Amazon,Concealer,https://www.amazon.sa/-/en/Essence-Camouflage-Concealer-Waterproof-Oil-Free/dp/B07YNZ7MFN/ref=sr_1_2?dib=eyJ2IjoiMSJ9.EMoKy1h3lGgB8lX8kd1mrCbj0BrpkMc47U_9Xsj5n5w6epXvY09uQHs4ciuAiwfUc6E97HFQrXTAcdIzhS7-53q1u3Cipc8LTwuFiGOfp3x-SDreF3CB_K6cWCalx60131EtsLtAWV9zFG3XVeSdKnn1xMQCVVvTrw3YUvQPFVJl0xqzX9Ojqv-hDWud_ksD7SjiXVxysQUMXh20rwcpfD383aNcgL7FZxZCcnmIdcbpqdhi5W0GyCLasQggo4dayEkdKdhQYUlnGOPnpJw3xSTDFuiGHnM0Ekfdc7TJPGE.S63C39PoBkP1t5mfOMF33Dgf57u16UBPOGv7dvpHTuA&dib_tag=se&qid=1743936880&refinements=p_123%3A189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C408954%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-2&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/41jxmYF8Y9L._AC_UL320_.jpg,"Essence Camouflage + Matt Concealer, Concealer Pen, Waterproof, Covers Tattoos, No. 23 Warm Sand, Nude, Matte, Vegan, Oil-Free, Waterproof (5 ml)",10.95,5.0,2.4807312783775197,-2.7649078081844,1,0,3,4,0
,Nahdi,Concealer,https://www.nahdionline.com/en-sa/essence-camouflage-matt-concealer-20-nude/pdp/101614079,"https://ecombe.nahdionline.com/media/catalog/product/e/s/essence-camouflage-matt-concealer-20_1.jpg?width=265&height=265&canvas=265,265&optimize=high&bg-color=255,255,255&fit=bounds",Essence Camouflage+ Matt Concealer 20- Nude,16.01,,2.8338014064077703,-2.260312260104243,1,0,3,4,0
,Nahdi,Concealer,https://www.nahdionline.com/en-sa/essence-camouflage-matt-concealer-30/pdp/101614087,"https://ecombe.nahdionline.com/media/catalog/product/e/s/essence-camouflage-matt-concealer-30_1.jpg?width=265&height=265&canvas=265,265&optimize=high&bg-color=255,255,255&fit=bounds",Essence Camouflage+ Matt Concealer 30,15.0,,2.772588722239781,-2.347795299492264,1,0,3,4,0
