Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Sephora,Concealer,https://www.sephora.me/sa-en/p/pro-pencil/P2678025,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw3bf90fe4/images/hi-res/SKU/SKU_3/308070_swatch.jpg,ANASTASIA BEVERLY HILLS Pro Pencil,109.0,,4.700480365792417,0.4074803901980532,0,2,0,0,2
,Sephora,Concealer,https://www.sephora.me/sa-en/p/lovetint-lip-%26-cheek-stain/P3787005,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw48387f77/images/hi-res/SKU/SKU_872/483353_swatch.jpg,BENEFIT COSMETICS Lovetint Lip & Cheek Stain,111.0,,4.718498871295094,0.43323181162368546,0,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/always-fabulous-the-sculptor-concealer-300-rose-beige/N52174500A/p/?o=f5a53d5deba5da5e,,BOURJOIS PARIS Always Fabulous The Sculptor Concealer – 300 –Rose Beige,47.0,,3.871201010907891,-0.777696823530048,1,2,1,2,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-2-in-1-serum-concealer-beige-13ml/ZFE97FCC6932157A42A87Z/p/?o=b36a2a2c854d9f1e,,"BOURJOIS PARIS Healthy Mix 2-in-1 Serum Concealer - Beige, 13ml",87.0,13.0,4.477336814478207,0.08857138703735772,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-2-in-1-serum-concealer-ivory-13ml/Z410C10B7B82DFECAD361Z/p/?o=z410c10b7b82dfecad361z-1,,"BOURJOIS PARIS Healthy Mix 2-in-1 Serum Concealer - Ivory, 13ml",87.0,13.0,4.477336814478207,0.08857138703735772,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-clean-concealer-51/Z1F60A3B83ABA6C4A9D7EZ/p/?o=b1135ed1a19e92cb,,BOURJOIS PARIS Healthy Mix Clean Concealer  51,58.0,,4.07753744390572,-0.4828079693573625,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-clean-concealer-52-5/Z9E10DCCB0A0615E3A834Z/p/?o=f68327fabc2b6edb,,BOURJOIS PARIS Healthy Mix Clean Concealer  52.5,79.0,,4.382026634673881,-0.04764260728804577,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-clean-concealer-53/ZADBE31F1127F2C02D329Z/p/?o=zadbe31f1127f2c02d329z-1,,BOURJOIS PARIS Healthy Mix Clean Concealer  53,69.4,,4.254193263163997,-0.23033761612333775,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-clean-concealer-56-5/Z83C174F537CC443427C8Z/p/?o=d0d462e75fa787ef,,BOURJOIS PARIS Healthy Mix Clean Concealer  56.5,79.0,,4.382026634673881,-0.04764260728804577,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-clean-concealer-52/ZFF3C1C58114CF0C536CAZ/p/?o=ce0761ee8831969a,,BOURJOIS PARIS Healthy Mix Clean Concealer 52,79.0,,4.382026634673881,-0.04764260728804577,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-clean-concealer-54/Z2F9E7A825826F37339DCZ/p/?o=c2e4b22c2c4b94bd,,BOURJOIS PARIS Healthy Mix Clean Concealer 54,79.0,,4.382026634673881,-0.04764260728804577,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-clean-concealer-58/Z1C110A095C3A1B936019Z/p/?o=cef55ecc5dbe1b1f,,BOURJOIS PARIS Healthy Mix Clean Concealer 58,79.0,,4.382026634673881,-0.04764260728804577,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/healthy-mix-clean-concealer-59/ZF34EA57CA42E9924D035Z/p/?o=c354b454d081154c,,BOURJOIS PARIS Healthy Mix Clean Concealer 59,79.0,,4.382026634673881,-0.04764260728804577,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/chroma-conceal-liquid-concealer-c2/Z637A1CB32C1FA3E4D3B5Z/p/?o=d73fce185757c88f,https://f.nooncdn.com/p/pzsku/Z637A1CB32C1FA3E4D3B5Z/45/_/1701165334/adb19e22-d993-47ce-9075-3fbffa7a82e1.jpg?format=jpg&width=240,BPERFECT Chroma Conceal - Liquid Concealer - C2,80.0,,4.394449154672439,-0.029888773730447307,1,2,0,0,2
,Noon,Concealer,https://www.noon.com/saudi-en/chroma-conceal-liquid-concealer-c3/ZAD1BDD7698724007B5D0Z/p/?o=a72046f80e8e5bfd,https://f.nooncdn.com/p/pzsku/ZAD1BDD7698724007B5D0Z/45/_/1701165306/f88ec9c5-9bbc-4cff-be72-243fe225ee66.jpg?format=jpg&width=240,BPERFECT Chroma Conceal - Liquid Concealer - C3,80.0,,4.394449154672439,-0.029888773730447307,1,2,0,0,2
