Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Amazon,Foundation ,https://www.amazon.sa/-/en/Max-Factor-Performance-Weightless-Foundation/dp/B00KG85CF4/ref=sr_1_666?dib=eyJ2IjoiMSJ9.gJDfcthfkKLA_-NyHoCoLNABuERnpbYpIpvoIrnf26Fhy3FFuzaLrZ_HKa0i294gvsk_VB_Oij6f3w-c8U9tqFUFfXYO-LycTJxeMRlK8rWMlqpgA9BN1dsDuaOTRMohQApNl4AaDIP7EnE4TrkVANuYwneSbqcHK4UN_C4bnCubwcMENgddM0qrkTAi1offHid_BLpgLtLhE99bK7rFjHbjQ-JAmyXoLE99_PfCyh3yXoq6gd1-eplPYbuu6XyHr1GnWkyeGt0PRM-RPZxDbGZLNgudriRTaRVRDnB25aQ.VoJm1hKNcBQX_PqFasG5UyvtgDXDqcnO_6prvlFERmw&dib_tag=se&qid=1743937300&refinements=p_123%3A1750503%7C189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C405994%7C408954%7C467627%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-666&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/71fEw14ITqL._AC_UL320_.jpg,3 x Max Factor Lasting Performance Weightless Feel Foundation 100 Fair,232.24,,5.4520679663539555,1.1657556042348702,0,1,1,3,1
,Sephora,Foundation ,https://www.sephora.me/sa-en/p/impeccable-blurring-second-skin-matte-foundation/P10061525,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw9e136879/images/hi-res/SKU/SKU_5872/745056_swatch.jpg?sw=640&sh=640&sm=fit&q=85,ANASTASIA BEVERLY HILLS Impeccable Blurring Second Skin Matte Foundation,240.0,,5.484796933490655,1.209777360379192,0,1,1,1,1
,Sephora,Foundation ,https://www.sephora.me/sa-en/p/luminous-foundation/P3799045,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwfed3f1f4/images/hi-res/SKU/SKU_879/485560_swatch.jpg,ANASTASIA BEVERLY HILLS Luminous Foundation,220.0,,5.3981627015177525,1.093250889570241,0,1,1,3,1
,Noon,Foundation ,https://www.noon.com/saudi-en/skin-love-weightless-blur-foundation-cashmere/N30991446A/p/?o=d82be4e132cbcd4e,,BECCA Skin Love Weightless Blur Foundation Cashmere,259.0,,5.560681631015528,1.3118452819109945,0,1,1,1,1
,Noon,Foundation ,https://www.noon.com/saudi-en/skin-love-weightless-blur-liquid-foundation-sand/N30991568A/p/?o=d3636358c29aee2a,https://f.nooncdn.com/p/v1571490985/N30991568A_1.jpg?format=jpg&width=240,BECCA Skin Love Weightless Blur Liquid Foundation Sand,271.0,,5.605802066295998,1.3725340531376082,0,1,1,1,1
,Noon,Foundation ,https://www.noon.com/saudi-en/ultimate-coverage-foundation-vanilla/N30991138A/p/?o=f47b05079814001c,,BECCA Ultimate Coverage Foundation Vanilla,335.0,,5.817111159963204,1.656753147300979,0,1,1,1,1
,Amazon,Foundation ,https://www.amazon.sa/-/en/BOURJOIS-Foundation-Vanilla-Smooth-Finish/dp/B07MPX8JXZ/ref=sr_1_723?dib=eyJ2IjoiMSJ9.JPFf3gEM2hDbKrhulHp6CVML16AP4KzmPeRzQL8lkXNHJ0ST61ZaxyyFmxtCBmyVZodeF6WGsQppT4hXvBb1P0nDUvPzG203Dpj6N_kXBaD-H2-W01bagHgy59lqJWhCAySJzGOfBcFOmlLvWb_00NxA2up6kdD5_zHAfbDCQfYKRFo8Z7Lxx1uFlwFahWgvY5TQ0kSJgq2W8diyQ0qeH17CMM7zcY2xCUaZgdfnaV3zUze1l9FtkdTj82V5bIH5qtGueW7AvSEqC_zbmuAS0dvNruMcJcBvmBSqzL_0wiM.Aj7jwqsirNC8YnQdm0yjgWptpaaHbuuI0BonHpjSBa4&dib_tag=se&qid=1743937307&refinements=p_123%3A1750503%7C189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C405994%7C408954%7C467627%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-723&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/11C1oQumPuL._AC_UL320_.jpg,"BOURJOIS Air Mat 24-hr Foundation 02 Vanilla 1's 30ml give Skin a Smooth, Matte Finish That Lasts for up to 24 Hours",362.0,30.0,5.8944028342648505,1.7607135082827996,0,1,1,1,1
,Noon,Foundation ,https://www.noon.com/saudi-en/healthy-mix-clean-foundation/ZA8EEEC2E40E30AF11DCCZ/p/?o=d3677f25c3dccdfe,https://f.nooncdn.com/p/pzsku/ZA8EEEC2E40E30AF11DCCZ/45/_/1676321395/13479380-f45e-410d-b807-8e3904b6f2cf.jpg?format=jpg&width=240,BOURJOIS PARIS Healthy Mix Clean Foundation,140.0,,4.948759890378168,0.4887863221450133,0,1,3,3,1
,Noon,Foundation ,https://www.noon.com/saudi-en/mineral-liquid-powder-foundation-spf-15-pale-beige/N31091606A/p/?o=d120aea16b7c700d,,Beauty Basics Mineral Liquid Powder Foundation SPF 15 Pale Beige,265.0,,5.583496308781699,1.3425319264646962,0,1,1,1,1
,Noon,Foundation ,https://www.noon.com/saudi-en/color-perfect-liquid-makeup-rum-spice/N33429737A/p/?o=c9848f808f117c4a,,Black Radiance Color Perfect Liquid Makeup Rum Spice,151.0,,5.0238805208462765,0.5898265432452584,0,1,3,3,1
