Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Amazon,Foundation ,https://www.amazon.sa/-/en/Bourjois-Healthy-Fatigue-Foundation-Sealed/dp/B071Y3YP52/ref=sr_1_115?dib=eyJ2IjoiMSJ9.CLMXloH9-ODL7GbomDWGnCBmKVFTJV7HtKvUlEJerls2SDbThd_RII1Ua2PBnqdzFOG2jedSdvACkyOI5HpZEa_H571bvtT1WKBE_k7jwtNkKwq65N7tV33DHVn4Rd-X_h3q3Izw0TGjLwOOOoq3QS53bBw5HYgiDl4Zq_rdJxwIbLvrEItocslMcZk-mTTnmfkTh-w7dT73T9Y-Vn8ojcsYeCQJUoeypEPWLeWx3wF-a62Q5xvtbsbGf0YPwCJb97UeuNLlVP934oS3Mj4Skhd0SEWhjtXmlGAA_VAxuwA.Xuz6wl_9an_8JWVHLCF8pi428VpXhk20wyRELne5zkY&dib_tag=se&qid=1743937268&refinements=p_123%3A1750503%7C189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C405994%7C408954%7C467627%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-115&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/41spQAcxqDL._AC_UL320_.jpg,2 x Bourjois Healthy Mix Anti Fatigue Foundation 30ml Sealed - 54 Beige,52.99,30.0,3.9887988442301956,-0.8023992782153605,1,2,0,0,2
,Noon,Foundation ,https://www.noon.com/saudi-en/avon-power-stay-24-hour-longwear-foundation-ivory/N70151683V/p/?o=c6c44ab0e3ffb6da,,AVON AVON Power Stay 24 Hour Longwear Foundation Ivory,65.0,,4.189654742026425,-0.532240146214529,1,2,0,0,2
,Noon,Foundation ,https://www.noon.com/saudi-en/avon-power-stay-24-hour-longwear-foundation-light-ivory/N70151614V/p/?o=ad64dfb40b99427c,,AVON AVON Power Stay 24 Hour Longwear Foundation Light Ivory,65.0,,4.189654742026425,-0.532240146214529,1,2,0,0,2
,Noon,Foundation ,https://www.noon.com/saudi-en/avon-power-stay-24-hour-longwear-foundation-shell/N70151682V/p/?o=af5722d2f97bd4cb,,AVON AVON Power Stay 24 Hour Longwear Foundation Shell,65.0,,4.189654742026425,-0.532240146214529,1,2,0,0,2
,Amazon,Foundation ,https://www.amazon.sa/-/en/BOURJOIS-PARIS-Face-Foundation-Beige/dp/B081VKKC91/ref=sr_1_237?dib=eyJ2IjoiMSJ9.40Xz7hhQ41VoitxnAuHVIbHb-xjmeAxKj5t0AIpLFFbg2-YeHbNpMWmSgrvLWiIumRyyEFBSXMhsQYWi2fnUOr2PfBc7wG_WaniOnFVhV_dWTy6qre4RGJNVpEi1Xl6VyFgQA9JhJt7qb4VR24yIQMPNPNMYlaU6kbcx-d61JwXRrqhQst12eKlCzcfX0z1wv-4j_d--7j40l6-fDB7jj-aA7uOyzmuLofbCaI27P4v0uMQw4ZJBZcersSn6rcYH0YZBkyYccipejhaa2CM3CJ7WItIN6Wd_cTkPRu0BcIA.IubArWzpAV0UHI_Fdls8P1XEPDXV8K8Pxb75ph3JWBE&dib_tag=se&qid=1743937272&refinements=p_123%3A1750503%7C189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C405994%7C408954%7C467627%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-237&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/51A-IBmJSYL._AC_UL320_.jpg,"BOURJOIS PARIS Air Mat 24H Face Foundation- 3 Beige, 30 ml",69.0,30.0,4.248495242049359,-0.45309734489724934,1,2,0,4,2
,Noon,Foundation ,https://www.noon.com/saudi-en/air-mat-24h-foundation-30-ml-06-golden-sun/N13167901A/p/?o=a389f4953d335a5d,https://f.nooncdn.com/p/v1682082336/N13167901A_1.jpg?format=jpg&width=240,BOURJOIS PARIS Air Mat 24H Foundation 30 ml 06 Golden Sun,52.5,30.0,3.979681653901961,-0.8146622600465493,1,2,0,0,2
,Noon,Foundation ,https://www.noon.com/saudi-en/healthy-mix-bb-cream-03-beige-30ml/Z0050AE8A2AE0A0C606DEZ/p/?o=z0050ae8a2ae0a0c606dez-1,https://f.nooncdn.com/p/pzsku/Z0050AE8A2AE0A0C606DEZ/45/_/1739350595/ab83a99e-01cd-4421-bfb1-aacc50f9ef93.jpg?format=jpg&width=240,"BOURJOIS PARIS Healthy Mix Bb Cream - 03 - Beige, 30Ml",90.0,30.0,4.51085950651685,-0.10020702534844313,1,2,0,4,2
,Noon,Foundation ,https://www.noon.com/saudi-en/healthy-mix-clean-foundation/ZA2DE5E65F46C068CE195Z/p/?o=b7be5b1a3045a03b,https://f.nooncdn.com/p/pzsku/ZA2DE5E65F46C068CE195Z/45/_/1676321394/bc73abeb-46ae-4fa4-b842-baa1821d1b6d.jpg?format=jpg&width=240,BOURJOIS PARIS Healthy Mix Clean Foundation,69.0,,4.248495242049359,-0.45309734489724934,1,2,0,4,2
,Amazon,Foundation ,https://www.amazon.sa/-/en/Bourjois-123-PERFECT-Foundation-57/dp/B00H8OSHQA/ref=sr_1_264?dib=eyJ2IjoiMSJ9.efCfwXkvol2RQi5MOUB9UWZ8FXWWU6cl3r16dJbOcRTM8zeEX54AZHSeWW-wghPGfgiTZ-oMo35l7GUz_pUk-zBy30EhZqxFoaKKU9A16rJl5VicPTkpavBgJM_M9ESacdMOUh8HBFiokXZjrwpRCmNzMAx-tF01PQOw7BWtqsdcAXG6WcM-yJezi_ZjD3k-85GBZKNlilbd-y9TG46hllIofQF2dAs_UGtzoVPVIGmbn4jqPhvJCw0g_iPDuaCmEFwt3_Bbi10fuu3R-xBB6XYAVf0fJiqTCRr_7LQZyTs.Wx3QoHmF_WU1wAYi4nRsUpyNMo0spzE3qqi65ZgkfGA&dib_tag=se&qid=1743937275&refinements=p_123%3A1750503%7C189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C405994%7C408954%7C467627%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-264&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/71TMbdHleiL._AC_UL320_.jpg,Bourjois 123 PERFECT Foundation 57,72.42,,4.2961963780686885,-0.38893742903802253,1,2,0,4,2
,Amazon,Foundation ,https://www.amazon.sa/-/en/Bourjois-123-Perfect-Foundation-Beige/dp/B00B728JGC/ref=sr_1_257?dib=eyJ2IjoiMSJ9.efCfwXkvol2RQi5MOUB9UWZ8FXWWU6cl3r16dJbOcRTM8zeEX54AZHSeWW-wghPGfgiTZ-oMo35l7GUz_pUk-zBy30EhZqxFoaKKU9A16rJl5VicPTkpavBgJM_M9ESacdMOUh8HBFiokXZjrwpRCmNzMAx-tF01PQOw7BWtqsdcAXG6WcM-yJezi_ZjD3k-85GBZKNlilbd-y9TG46hllIofQF2dAs_UGtzoVPVIGmbn4jqPhvJCw0g_iPDuaCmEFwt3_Bbi10fuu3R-xBB6XYAVf0fJiqTCRr_7LQZyTs.Wx3QoHmF_WU1wAYi4nRsUpyNMo0spzE3qqi65ZgkfGA&dib_tag=se&qid=1743937275&refinements=p_123%3A1750503%7C189527%7C2150197%7C234018%7C234388%7C236425%7C238299%7C245180%7C365463%7C405994%7C408954%7C467627%7C477171%7C503665%7C665212%2Cp_n_feature_three_browse-bin%3A29245899031%7C29245902031&rnid=29245651031&s=beauty&sr=1-257&xpid=JQjwZ2xv2WN-Y,https://m.media-amazon.com/images/I/51d3GS1abZS._AC_UL320_.jpg,"Bourjois 123 Perfect Foundation - 54 Beige, 30 ml",71.83,30.0,4.288127958229824,-0.3997897730528215,1,2,0,4,2
