Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Noon,Highlighter ,https://www.noon.com/saudi-en/5-color-highlighter-palette-01/Z6BE77166BA1943525A4BZ/p/?o=z6be77166ba1943525a4bz-1,,AMYTIS GARDEN 5 Color Highlighter Palette 01,36.0,,3.6109179126442243,-0.9202987300340781,1,1,1,1,1
,Noon,Highlighter ,https://www.noon.com/saudi-en/5-color-highlighter-palette-02/Z0DB474495862495CC5B0Z/p/?o=z0db474495862495cc5b0z-1,,AMYTIS GARDEN 5 Color Highlighter Palette 02,36.0,,3.6109179126442243,-0.9202987300340781,1,1,1,1,1
,Noon,Highlighter ,https://www.noon.com/saudi-en/face-highlighter-2-colors/Z11C9D7ED50517EE983CBZ/p/?o=z11c9d7ed50517ee983cbz-1,,BOLVER Face Highlighter 2 Colors,26.95,,3.3304171996011083,-1.2628320702027935,1,1,1,4,1
,Noon,Highlighter ,https://www.noon.com/saudi-en/highlighter-makeup-palette-03/Z7CB7C420C4B1A7D5F57BZ/p/?o=z7cb7c420c4b1a7d5f57bz-1,,BOLVER Highlighter Makeup Palette 03,33.65,,3.5452977256359124,-1.0004307967037191,1,1,1,1,1
,Noon,Highlighter ,https://www.noon.com/saudi-en/highlighter-makeup-palette-03/ZD9695FD8C390224D8707Z/p/?o=zd9695fd8c390224d8707z-1,https://f.nooncdn.com/p/pzsku/ZD9695FD8C390224D8707Z/45/_/1674737143/36786440-a4f2-498f-98da-df8bc2acc0d9.jpg?format=jpg&width=240,BOLVER Highlighter Makeup Palette 03,34.35,,3.565298392342582,-0.9760069900819384,1,1,1,1,1
,Noon,Highlighter ,https://www.noon.com/saudi-en/5-color-highlighter-palette/Z07F902EB0A025B579154Z/p/?o=z07f902eb0a025b579154z-1,,Beauty Lara 5 Color Highlighter Palette,17.5,,2.917770732084279,-1.766735148715234,1,1,1,4,1
,Noon,Highlighter ,https://www.noon.com/saudi-en/so-bright-baked-highlighter/Z421CB833C8FEC1E8B109Z/p/?o=z421cb833c8fec1e8b109z-1,,Callista So Bright Baked Highlighter,19.7,,3.0301337002713233,-1.6295231524004035,1,1,1,4,1
,Noon,Highlighter ,https://www.noon.com/saudi-en/about-tonight-highlighter-palette-c01/Z960B9962196810FDAE07Z/p/?o=bd7a9b19402d67bc,https://f.nooncdn.com/p/pzsku/Z960B9962196810FDAE07Z/45/_/1733208339/bb034faf-d2af-4e19-a095-e3d12f2bb2ed.jpg?format=jpg&width=240,Catrice About Tonight Highlighter Palette C01,38.5,,3.676300671907076,-0.840456598166452,1,1,3,1,1
,Noon,Highlighter ,https://www.noon.com/saudi-en/more-than-glow-020-highlighter-5-9-grams-020-supreme-rose-beam/N43816927A/p/?o=fc3712a717b1b39a,,Catrice More Than Glow 020 Highlighter 5.9 grams 020 Supreme Rose Beam,16.8,,2.8791984572980396,-1.8138376675541263,1,1,1,4,1
,Noon,Highlighter ,https://www.noon.com/saudi-en/more-than-glow-highlighter-010-ultimate-platinum-glaze/N43816926A/p/?o=d81db153cfb86c2b,,Catrice More Than Glow Highlighter 010 Ultimate Platinum Glaze,16.8,,2.8791984572980396,-1.8138376675541263,1,1,1,4,1
