Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Amazon,Highlighter ,https://www.amazon.sa/-/en/5coclors-All-of-the-light/dp/B081TMX5H9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.mOGXegs1a5ZmvcNVFYSl7gA3_4Q-Q_6hcGj58tXRJz9nOFOrNtNGMN56nJoAXQQKqZI2FEdGhuDXfBg1S_a8q2dy_PXRvknhhnDXFk8J8Xb9i3LUlbVGsJ1C_Qy9h4zNCDdTk-_n21euF7u8vRgpsubJSPFNG9vFLhBgIPJCzOwKguQxklSBi_Bq_shHsPwpD7waGN7dvK17BjkNaECWmtQIkD2GpRIK89id8ajrwE-a5gvwqO4J7oZI_WujPAAVjo4LoUUD6zH8A3sfR18gIlMs3Y0HbY0HTbMl8n0KIeQ.8WuJHvQ0Gf2hCPnSQfzXYshEhiIodna7SbqQybFUHV4&dib_tag=se&qid=1743940753&refinements=p_123%3A189527%7C2150197%7C234018%7C238299%7C249745%7C318378%7C400264%7C456738%7C665212%7C796178%2Cp_n_feature_eight_browse-bin%3A57516072031&rnid=57516066031&s=beauty&sr=1-19,https://m.media-amazon.com/images/I/61o7UjKwUxL._AC_UL320_.jpg,5coclors All of the light,79.0,,4.382026634673881,0.02134039567270081,0,0,0,2,0
,Noon,Highlighter ,https://www.noon.com/saudi-en/aurora-glow-highlighter-blue-beige-pink/N14560409A/p/?o=a9ada15577d2240b,,ANASTASIA BEVERLY HILLS Aurora Glow highlighter Blue/beige/pink,84.5,,4.448516375942715,0.10253431820032917,0,0,0,2,0
,Noon,Highlighter ,https://www.noon.com/saudi-en/ultimate-glow-kit-highlighter-white-beige-gold/N12872392A/p/?o=aeab7a61387e42cb,,ANASTASIA BEVERLY HILLS Ultimate Glow Kit Highlighter White/Beige/Gold,66.95,,4.218772140597153,-0.17801776832975555,1,0,3,2,0
,Noon,Highlighter ,https://www.noon.com/saudi-en/ultra-colour-palette-3-in-1-golden-hour/N70151686V/p/?o=a60f2df0d3afafbb,https://f.nooncdn.com/p/pnsku/N70151686V/45/_/1739347563/d439c7e3-bd1f-4735-8654-8cda5b0a1e19.jpg?format=jpg&width=240,AVON Ultra Colour Palette 3 in 1 Golden Hour,85.0,,4.454347296253507,0.10965474434343969,0,0,0,2,0
,Sephora,Highlighter ,https://www.sephora.me/sa-en/p/high-beam-liquid-face-highlighter/P2521,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw3ceea245/images/hi-res/SKU/SKU_895/483348_swatch.jpg?sw=640&sh=640&sm=fit&q=85,BENEFIT COSMETICS High Beam Liquid Face Highlighter,105.0,,4.663439094112067,0.3649871146086281,0,0,0,2,0
,Amazon,Highlighter ,https://www.amazon.sa/-/en/l-f-Highlighting-Gift-Highlighter-Brush/dp/B07HDGH83K/ref=sr_1_117?dib=eyJ2IjoiMSJ9.So8tDoGoidtbnHlY6DTkWbH0sVG8OhweCzQLdErLwumenkA02Gbcz-HhL8GSGCFt3mH_bRJUbBlJL6cp2VKHwrQjANxU5T54n6zsjd7y9-dm-7RiUoGyTSp-SMKS7fSDPDIpIrNYx0yBFMLxCf6vch9oSUCuZN-WjSLVq_v0s19gIwIBWRsRGBj0fu8nEaI4Bj86QLUyXIEuQ0WvRqf7t8tSXyS9OsAt0bbzxhWzcANuYbOeZNyb6cfzzNxuClR3Y0Iev508Y5G0gU_6Po-K4eb9QeWGnjul4ugzEgXItLE.vtap6_7zkDYdSey80pWycUiYUe7Fo5WqHlz-kxaWwyA&dib_tag=se&qid=1743940779&refinements=p_123%3A189527%7C2150197%7C234018%7C238299%7C249745%7C318378%7C400264%7C456738%7C665212%7C796178%2Cp_n_feature_eight_browse-bin%3A57516072031&rnid=57516066031&s=beauty&sr=1-117&xpid=wLByakBCaiGH_,https://m.media-amazon.com/images/I/71oeRyhe4NL._AC_UL320_.jpg,E.l.f. Highlighting Gift Set with Highlighter and Highlighting Brush,100.0,,4.61512051684126,0.3059829021586378,0,0,0,2,0
,Noon,Highlighter ,https://www.noon.com/saudi-en/golden-days-ahead-face-body-highlighter-baby-it-s-gold-outside/N70058457V/p/?o=af5d20868a4de3bd,https://f.nooncdn.com/p/pnsku/N70058457V/45/_/1711530277/885d6790-d029-4153-ae33-22b65a91676c.jpg?format=jpg&width=240,"Essence Golden Days Ahead Face & Body Highlighter Baby, It's Gold Outside",55.2,,4.028916756899646,-0.4098595986816239,1,0,3,1,0
,Amazon,Highlighter ,https://www.amazon.sa/-/en/Essence-Illuminating-Multicoloured-Particles-Free-Nanoparticles/dp/B09R831QD7/ref=sr_1_87?dib=eyJ2IjoiMSJ9.2wH-MaUvSk2byPj3bJgax3RlAb8EDgR-katLgJQ24lBndlhB2pj5nXAKj_V3E-77nwyVVqNx2iqQ38cM6p5Nuj6Q9RmQK0bolR9pPxTEs0SJbHbY_xwDJypHOObQbYPofgpKa1FDlNydj7srxwrK4MoT-ctbxpzZyfjnXfXdv8a9_5FEVxrWDIIkpRZP3oALjVZi4yQ5m9n7w_63Q9b0MU8bDFH9FzOyu_ws66IO7DB9XA-2nQAp-deABsk9UqJMLqa-fRk3V_6M46aoICHV8eHitYHFupFv9beCDfUFZfE.EK7TnUcFAqdVuhdaN7RS_lEPOtKom0tkikg7QzjtBio&dib_tag=se&qid=1743940776&refinements=p_123%3A189527%7C2150197%7C234018%7C238299%7C249745%7C318378%7C400264%7C456738%7C665212%7C796178%2Cp_n_feature_eight_browse-bin%3A57516072031&rnid=57516066031&s=beauty&sr=1-87&xpid=wLByakBCaiGH_,https://m.media-amazon.com/images/I/71JsSRwFpWL._AC_UL320_.jpg,"Essence Kissed By The Light Illuminating Powder, Powder, No. 01 Star Kissed, Multicoloured, 3 Colours, Radiant, Vegan, Microplastic Particles-Free, Nanoparticles Free (10 G)",99.12,,4.6063694665635735,0.2952965604054193,0,0,0,2,0
,Sephora,Highlighter ,https://www.sephora.me/sa-en/p/watermelon-glow-niacinamide-dew-drops/P10018696,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwcd7d8872/images/hi-res/SKU/SKU_4540/661187_swatch.jpg?sw=640&sh=640&sm=fit&q=85,GLOW RECIPE Watermelon Glow Niacinamide Dew Drops,90.0,,4.51085950651685,0.17866460863866523,0,0,0,2,0
,Noon,Highlighter ,https://www.noon.com/saudi-en/double-lasting-cushion-glow-light-vanilla-17c1-15g/ZF74CEA38C29C8FF49DF8Z/p/?o=c4f54e4075b5d89b,https://f.nooncdn.com/p/pzsku/ZF74CEA38C29C8FF49DF8Z/45/_/1725870910/3e25566a-f497-4c7e-b5fd-c4e9b2f0828e.jpg?format=jpg&width=240,"General Double Lasting Cushion Glow, Light Vanilla 17C1, (15g)",85.0,,4.454347296253507,0.10965474434343969,0,0,0,2,0
