Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,price_numeric,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Noon,Lipstick,https://www.noon.com/saudi-en/mini-meet-matt-liquid-lipstick-set-12colors/ZEEAA4DFC6DB2C0637ECDZ/p/?o=zeeaa4dfc6db2c0637ecdz-1,https://f.nooncdn.com/p/pzsku/ZEEAA4DFC6DB2C0637ECDZ/45/_/1720435326/dab5644d-35f7-480e-bbee-8c45d1e7fa06.jpg?format=jpg&width=240,AMYTIS GARDEN Mini Meet Matt Liquid Lipstick Set 12colors,40.5,40.5,3.7256934272366524,-0.44226669915166683,0,2,0,3,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-barely-baked/N70151665V/p/?o=ec9edf8c96088a0b,,AVON AVON Power Stay Liquid Lip Barely Baked,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-cant-quit-caf/N70151662V/p/?o=cbcd00f68513caca,,AVON AVON Power Stay Liquid Lip Cant Quit Café,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-in-charge-mauve/N70151663V/p/?o=c7c28c33f000bacb,,AVON AVON Power Stay Liquid Lip In Charge Mauve,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-non-stop-nude/N70151659V/p/?o=db44c7620e54872f,,AVON AVON Power Stay Liquid Lip Non Stop Nude,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-relentless-rose/N70151661V/p/?o=e51c610b14d96b2a,,AVON AVON Power Stay Liquid Lip Relentless Rose,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-resilient-red/N70151666V/p/?o=c3a1e2d011887b7a,,AVON AVON Power Stay Liquid Lip Resilient Red,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-rosey-posey/N70151664V/p/?o=a6ac03692fc3cebe,,AVON AVON Power Stay Liquid Lip Rosey Posey,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-spicy-brown/N70151660V/p/?o=e2781c69fc6b5feb,,AVON AVON Power Stay Liquid Lip Spicy Brown,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-stay-put-sangria/N70151612V/p/?o=a492b338d9d7114a,,AVON AVON Power Stay Liquid Lip Stay Put Sangria,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
,Noon,Lipstick,https://www.noon.com/saudi-en/avon-power-stay-liquid-lip-the-red-one/N70151613V/p/?o=b936ae3a4e09b9bc,,AVON AVON Power Stay Liquid Lip The Red One,60,60.0,4.110873864173311,0.12714845322521728,0,2,3,1,2
