Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,price_numeric,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Noon,Lipstick,https://www.noon.com/saudi-en/a-set-long-lasting-lipsticks-in-multi-coloured-6-colours/Z04554BBE69F95A7810A2Z/p/?o=z04554bbe69f95a7810a2z-1,https://f.nooncdn.com/p/pzsku/Z04554BBE69F95A7810A2Z/45/_/1679860829/21ea7393-cf0c-486d-8b62-1c2d3fde99c2.jpg?format=jpg&width=240,AMYTIS GARDEN A set  long lasting lipsticks in multi coloured 6 colours,32.4,32.4,3.5085558999826545,-0.7632627475268009,0,1,0,3,1
,Noon,Lipstick,https://www.noon.com/saudi-en/a-set-of-6-long-lasting-lipsticks-in-multi-coloured-colours/Z4D5004E6C01BE7B60E00Z/p/?o=z4d5004e6c01be7b60e00z-1,https://f.nooncdn.com/p/pzsku/Z4D5004E6C01BE7B60E00Z/45/_/1679865464/a1f8dcca-273d-454f-8082-500b644d173a.jpg?format=jpg&width=240,AMYTIS GARDEN A set of 6 long-lasting lipsticks in multi-coloured colours,32.4,32.4,3.5085558999826545,-0.7632627475268009,0,1,0,3,1
,Noon,Lipstick,https://www.noon.com/saudi-en/color-lipstick-collection/Z27B445510531C1AA92F8Z/p/?o=f26ef89efd8d22bb,https://f.nooncdn.com/p/pzsku/Z27B445510531C1AA92F8Z/45/_/1702217763/191a266d-7d5c-4d55-81f9-12605257c128.jpg?format=jpg&width=240,BOLAND LAURA COLOR LIPSTICK COLLECTION,21.8,21.8,3.126760535960395,-1.3276737210188767,0,1,2,0,1
,Noon,Lipstick,https://www.noon.com/saudi-en/matte-liquid-lipstick-930/Z43C551E0D88558A05FC5Z/p/?o=z43c551e0d88558a05fc5z-1,,BOLVER Matte Liquid Lipstick 930,26.95,26.95,3.3304171996011083,-1.0266065352557159,0,1,2,3,1
,Noon,Lipstick,https://www.noon.com/saudi-en/10-pcs-matte-liquid-lipstick-set-contains-smooth-lip-lacquer-moisturizing-long-lasting-waterproof-velvet-high-pigmented-lip-makeup-set-for-women/ZE3F98A5862833A0280ADZ/p/?o=ze3f98a5862833a0280adz-1,https://f.nooncdn.com/p/pzsku/ZE3F98A5862833A0280ADZ/45/_/1690044101/516a0b61-505b-48cb-a6e0-00fdbaa715cb.jpg?format=jpg&width=240,CAKAILA 10 Pcs Matte Liquid Lipstick Set Contains Smooth Lip Lacquer Moisturizing Long Lasting Waterproof Velvet High Pigmented Lip Makeup Set For Women,32,32.0,3.4965075614664802,-0.7810738974560063,0,1,0,3,1
,Noon,Lipstick,https://www.noon.com/saudi-en/10pcs-matte-liquid-lipstick-set-contains-smooth-lip-lacquer-moisturizing-long-lasting-waterproof-velvet-high-pigmented-lip-makeup-set-for-women/ZA7D3D4778B69979FFAB0Z/p/?o=za7d3d4778b69979ffab0z-1,https://f.nooncdn.com/p/pzsku/ZA7D3D4778B69979FFAB0Z/45/_/1672973323/88dbc3d5-d3f6-4982-85f0-a8c91de95d9f.jpg?format=jpg&width=240,CAKAILA 10Pcs Matte Liquid Lipstick Set Contains Smooth Lip Lacquer Moisturizing Long Lasting Waterproof Velvet High Pigmented Lip Makeup Set for Women,26.2,26.2,3.3032169733019514,-1.0668168354620244,0,1,2,3,1
,Noon,Lipstick,https://www.noon.com/saudi-en/carmina-3pcs-matte-liquid-lipstick/ZBF524287B27C385E458DZ/p/?o=zbf524287b27c385e458dz-1,,Carmina Carmina 3pcs Matte Liquid Lipstick,33.05,33.05,3.527830032595521,-0.7347696515482725,0,1,0,3,1
,Noon,Lipstick,https://www.noon.com/saudi-en/matt-pro-ink-liquid-lipstick/Z16E863DD0160F7F0A98AZ/p/?o=z16e863dd0160f7f0a98az-1,,Catrice Matt Pro Ink Liquid Lipstick,21,21.0,3.091042453358316,-1.3804760326036094,0,1,2,0,1
,Nahdi,Lipstick,https://www.nahdionline.com/en-sa/catrice-matt-pro-ink-liquid-lipstick-030/pdp/102934074,"https://ecombe.nahdionline.com/media/catalog/product/1/0/102934074_small_image_6607acdbe8ab029ee_63442.jpg?width=265&height=265&canvas=265,265&optimize=high&bg-color=255,255,255&fit=bounds",Catrice Matt Pro Ink Liquid Lipstick 030,25,25.0,3.258096538021482,-1.133518716104952,0,1,2,3,1
,Nahdi,Lipstick,https://www.nahdionline.com/en-sa/catrice-matt-pro-ink-liquid-lipstick-060/pdp/102934197,"https://ecombe.nahdionline.com/media/catalog/product/c/a/catrice-matt-pro-ink-liquid-lipstick-060-0ljpg.jpg?width=265&height=265&canvas=265,265&optimize=high&bg-color=255,255,255&fit=bounds",Catrice Matt Pro Ink Liquid Lipstick 060,25,25.0,3.258096538021482,-1.133518716104952,0,1,2,3,1
