Unnamed: 0,Website ,Product type,Product Link ,Product Img ,Product Name,Price,price_numeric,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
,Sephora,Tint,https://www.sephora.me/sa-en/p/blurring-serum-blush/P10059709,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dweb581c7c/images/hi-res/SKU/SKU_5393/728704_swatch.jpg,ANASTASIA BEVERLY HILLS Blurring Serum Blush, 140.00,140.0,4.948759890378168,0.6518590432055835,1,0,3,1,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/blush-trio/P3076021,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw0c26d52c/images/hi-res/SKU/SKU_5/402820_swatch.jpg,ANASTASIA BEVERLY HILLS Blush Trio, 206.00,206.0,5.332718793265369,1.0738713027895153,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/blushed-lip-%26-cheek-duo/P10060328,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw443af516/images/hi-res/SKU/SKU_5465/734633_swatch.jpg,ANASTASIA BEVERLY HILLS Blushed Lip & Cheek Duo, 160.00,160.0,5.081404364984463,0.7976496318050383,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/stick-blush/P10017753,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwfaea6c9a/images/hi-res/SKU/SKU_2437/557364_swatch.jpg,ANASTASIA BEVERLY HILLS Stick Blush, 149.00,149.0,5.0106352940962555,0.7198667876266295,1,0,1,1,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/luminous-silk-cheek-tint/P1000203147,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwa4d4238f/images/hi-res/SKU/SKU_5393/729440_swatch.jpg,ARMANI Luminous Silk Cheek Tint, 259.00,259.0,5.560681631015528,1.3244270563785194,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/luminous-silk-glow-blush/P10049264,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwcd888c33/images/hi-res/SKU/SKU_4011/648771_swatch.jpg,ARMANI Luminous Silk Glow Blush, 253.00,253.0,5.537334267018537,1.298765784399645,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/neo-nude-color-melting-cream-blush/P10017420,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dwb609b4a5/images/hi-res/SKU/SKU_1/552469_swatch.jpg,ARMANI Neo Nude Color Melting Cream Blush, 179.00,179.0,5.19295685089021,0.9202578492087622,1,0,1,3,0
,Noon,Tint,https://www.noon.com/saudi-en/perfect-cream-blush-subtle-coral/N33379415A/p/?o=ecf1ca3b5c6b1a1d,https://f.nooncdn.com/p/v1578311765/N33379415A_1.jpg?format=jpg&width=240,Annabelle Perfect Cream Blush Subtle Coral,181,181.0,5.204006687076795,0.9324028113442094,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/benetint-cheek-%26-lip-stain/P1217,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw3caba0da/images/hi-res/SKU/67828_swatch.jpg?sw=640&sh=640&sm=fit&q=85,BENEFIT COSMETICS Benetint Cheek & Lip Stain, 186.00,186.0,5.231108616854587,0.9621907561961379,1,0,1,3,0
,Sephora,Tint,https://www.sephora.me/sa-en/p/butterfly/P10025831,https://img-product.sephora.me/dw/image/v2/BKWK_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/default/dw4871ef19/images/hi-res/SKU/SKU_3450/585608_swatch.jpg,BENEFIT COSMETICS Butterfly, 186.00,186.0,5.231108616854587,0.9621907561961379,1,0,1,3,0
