title,price,rating,link,price_numeric,rating_numeric,volume,price_per_volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
AICHUN BEAUTY Argan Castor Jojoba Tea Tree Oil Multi Function Face Serum Natural Repair Moisturizing Blemish 30ml (TEA TREE OIL),SAR 19.00,3.6 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0ODI0MDg1MjgyMDg0ODE1OjE3NDcxNDA0MTc6c3BfYXRmX25leHQ6MzAwNDY5MTc2NjMzNDMyOjowOjo&url=%2FBlue-Nectar-Sunscreen-Moisturizer-Brightening%2Fdp%2FB0CW6H41YF%2Fref%3Dsr_1_241_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.eM-j9q_kD1VvHyEtwrlWYBGv2iRVyTXYqE2qCWrR-TMdpjrPelVthoOIFMSXaei60UnWCytHzLvlIu1bs_0NBJmr3Wrozekb2yHaKOA5C_yQvVKN31X5yfT_6UYdCcDjWCY_kfrVyCn1k5usS-LkQk3eoJYKkPfETXuhNlAuw2B4fZvxHtQ1sPW4JqDTql_DaJEBGTzUQ19ul_gbv0dMdgxokUMs9eauQ7VbAyT1oJXvw0EBtOZjqO5vpwmG4Iv-pRDchurj00YPuWsYdro5HbKQnHQxP9nqD77CyqUs1u4.HE0HHkABLJS9n-9f_fy9mLKQiaejXs-mY-fuCPaERLo%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140417%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-241-spons%26xpid%3DWwPqgK5ulXO5v%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,19.0,3.6,30.0,0.6333333333333333,0.4906229164484712,-1.5366424386078548,1,0,2,4,0
AS ASHLEY SHINE Niacinamide Pure Serum 2 in 1 Face & Body Whitening and Hydrating Skin 520ml,SAR 91.00,,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4NDM0NjE4ODcyMDM2ODA5OjE3NDcxNDA0MTY6c3BfYXRmX25leHQ6MzAwMjM0MjU2MjU3MDMyOjowOjo&url=%2FBlue-Nectar-Vitamin-Glowing-Removal%2Fdp%2FB077S5KM29%2Fref%3Dsr_1_193_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.lSqVaZWMKRBMlvA9Wi7UWkO8UBXxIlHysOLPutz0p7ha0dQ0XUmSJzZD8fmK3Y38vLlLJx6Hdg1smfsJcYz7XSnHvj0n2HQ7Jc3WV7f1r1fe17p2lHbC9rusfPm1fvW8ZlRHtPip8dxqHCCwCNR1N6x3zZXidktRk1ZVGxeMdKzw3v_-Y_IkwnXmslIzZP6m-n9LfA5sqUEIDvIQSIGLkhAQe07ys61j_4I4lmknnNTXtprUHi9Ewm60zxbrP-lOK0JPuu-Bz2RYfWyVjRG-nuZNJXOf1PMjbsOd63w3Pew.OML4U0oHePdHe7fWOEOF9MVLzVEF45dFQjySiP8SIqY%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140416%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-193-spons%26xpid%3DWwPqgK5ulXO5v%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,91.0,,520.0,0.175,0.16126814759612226,-2.4540467243147397,1,0,2,4,0
AXIS-Y Dark Spot Correcting Glow Serum 50ml,SAR 36.02,4.2 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0MTk3NzI5OTkyMDk4NzYxOjE3NDcxNDA0MTE6c3BfYXRmOjMwMDQ3NTk2MDgwNDgzMjo6MDo6&url=%2FDERMA-Kojic-Acid-Face-Serum%2Fdp%2FB09H3CYJF3%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.SNYishUX6RoK2b_7uh7J2yPQTVr537v-cOA53XUcIZU2SApffDOKKvlZGw54alTNomqXd0qOD3nFwGH4eOHNdgs0t7mKbU1Gw5v1ttCG4Hwq2Yl0GopgP25I2C2JiY4ed3Xbcji80Gq1cti1ExhCekkYh54ee0yLmIM4rf2RCjScVkNG3oI0zB58vQUVfOcOx9yntZoNDYTiMFRi1z4K5X32xO76y7NrPe0w0A5KvMqDytTleBKH0zUoTkmdOqKIBt4sUMtLHnv54bmMFFMKLesHcsO42fVUazcPROjxudo.6IZ63QU9tNy93nGPUbjY5RGXFeMwNYUozuLzUhxP0mE%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140411%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,36.02,4.2,50.0,0.7204,0.5425568219274441,-1.39198266147475,1,0,2,4,0
Advanced Clinicals Hyaluronic Acid Serum 1.75 Oz,SAR 51.64,4.2 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0MTk3NzI5OTkyMDk4NzYxOjE3NDcxNDA0MTE6c3BfYXRmOjMwMDQ3NTk2MDgwNDgzMjo6MDo6&url=%2FDERMA-Kojic-Acid-Face-Serum%2Fdp%2FB09H3CYJF3%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.SNYishUX6RoK2b_7uh7J2yPQTVr537v-cOA53XUcIZU2SApffDOKKvlZGw54alTNomqXd0qOD3nFwGH4eOHNdgs0t7mKbU1Gw5v1ttCG4Hwq2Yl0GopgP25I2C2JiY4ed3Xbcji80Gq1cti1ExhCekkYh54ee0yLmIM4rf2RCjScVkNG3oI0zB58vQUVfOcOx9yntZoNDYTiMFRi1z4K5X32xO76y7NrPe0w0A5KvMqDytTleBKH0zUoTkmdOqKIBt4sUMtLHnv54bmMFFMKLesHcsO42fVUazcPROjxudo.6IZ63QU9tNy93nGPUbjY5RGXFeMwNYUozuLzUhxP0mE%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140411%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,51.64,4.2,51.753625,0.9978045016170365,0.6920488284005077,-0.9755787700260355,1,0,2,1,0
Advanced Clinicals Retinol Serum 1.75 Oz,SAR 48.57,4.2 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0MTk3NzI5OTkyMDk4NzYxOjE3NDcxNDA0MTE6c3BfYXRmOjMwMDQ3NTk2MDgwNDgzMjo6MDo6&url=%2FDERMA-Kojic-Acid-Face-Serum%2Fdp%2FB09H3CYJF3%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.SNYishUX6RoK2b_7uh7J2yPQTVr537v-cOA53XUcIZU2SApffDOKKvlZGw54alTNomqXd0qOD3nFwGH4eOHNdgs0t7mKbU1Gw5v1ttCG4Hwq2Yl0GopgP25I2C2JiY4ed3Xbcji80Gq1cti1ExhCekkYh54ee0yLmIM4rf2RCjScVkNG3oI0zB58vQUVfOcOx9yntZoNDYTiMFRi1z4K5X32xO76y7NrPe0w0A5KvMqDytTleBKH0zUoTkmdOqKIBt4sUMtLHnv54bmMFFMKLesHcsO42fVUazcPROjxudo.6IZ63QU9tNy93nGPUbjY5RGXFeMwNYUozuLzUhxP0mE%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140411%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,48.57,4.2,51.753625,0.9384849853512677,0.661906732600407,-1.0595383494289883,1,0,2,1,0
"Aqualogica Radiance+ Juicy Dew Drops Illuminating Face Serum for Men and Women - With Watermelon and Niacinamide | Serum for Glowing, Oily & Dry Skin -30ml",SAR 19.99,3.7 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0ODI0MDg1MjgyMDg0ODE1OjE3NDcxNDA0MTc6c3BfYXRmX25leHQ6MzAwNDY5MTc2NjMzNDMyOjowOjo&url=%2FBlue-Nectar-Sunscreen-Moisturizer-Brightening%2Fdp%2FB0CW6H41YF%2Fref%3Dsr_1_241_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.eM-j9q_kD1VvHyEtwrlWYBGv2iRVyTXYqE2qCWrR-TMdpjrPelVthoOIFMSXaei60UnWCytHzLvlIu1bs_0NBJmr3Wrozekb2yHaKOA5C_yQvVKN31X5yfT_6UYdCcDjWCY_kfrVyCn1k5usS-LkQk3eoJYKkPfETXuhNlAuw2B4fZvxHtQ1sPW4JqDTql_DaJEBGTzUQ19ul_gbv0dMdgxokUMs9eauQ7VbAyT1oJXvw0EBtOZjqO5vpwmG4Iv-pRDchurj00YPuWsYdro5HbKQnHQxP9nqD77CyqUs1u4.HE0HHkABLJS9n-9f_fy9mLKQiaejXs-mY-fuCPaERLo%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140417%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-241-spons%26xpid%3DWwPqgK5ulXO5v%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,19.99,3.7,30.0,0.6663333333333333,0.5106256037633237,-1.4809257683065753,1,0,2,4,0
Ashley Shine Niacinamide Pure Serum: For Face and Body Hydrating and Whitening For All Skin Types 250ml,SAR 90.40,4.3 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0ODI0MDg1MjgyMDg0ODE1OjE3NDcxNDA0MTc6c3BfYXRmX25leHQ6MzAwNDY5MTc2NjMzNDMyOjowOjo&url=%2FBlue-Nectar-Sunscreen-Moisturizer-Brightening%2Fdp%2FB0CW6H41YF%2Fref%3Dsr_1_241_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.eM-j9q_kD1VvHyEtwrlWYBGv2iRVyTXYqE2qCWrR-TMdpjrPelVthoOIFMSXaei60UnWCytHzLvlIu1bs_0NBJmr3Wrozekb2yHaKOA5C_yQvVKN31X5yfT_6UYdCcDjWCY_kfrVyCn1k5usS-LkQk3eoJYKkPfETXuhNlAuw2B4fZvxHtQ1sPW4JqDTql_DaJEBGTzUQ19ul_gbv0dMdgxokUMs9eauQ7VbAyT1oJXvw0EBtOZjqO5vpwmG4Iv-pRDchurj00YPuWsYdro5HbKQnHQxP9nqD77CyqUs1u4.HE0HHkABLJS9n-9f_fy9mLKQiaejXs-mY-fuCPaERLo%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140417%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-241-spons%26xpid%3DWwPqgK5ulXO5v%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,90.4,4.3,250.0,0.36160000000000003,0.3086604788369727,-2.0434913926525953,1,0,2,4,0
"Azonee White Truffle Primer Spray Serum, Vegan Skincare, Lightweight Face Moisturizer, Brightening Serum for Radiant Skin, Full-Body Spray, Korean Skincare (3.38 Fl Oz)",SAR 44.79,,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4NDM0NjE4ODcyMDM2ODA5OjE3NDcxNDA0MTY6c3BfYXRmX25leHQ6MzAwMjM0MjU2MjU3MDMyOjowOjo&url=%2FBlue-Nectar-Vitamin-Glowing-Removal%2Fdp%2FB077S5KM29%2Fref%3Dsr_1_193_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.lSqVaZWMKRBMlvA9Wi7UWkO8UBXxIlHysOLPutz0p7ha0dQ0XUmSJzZD8fmK3Y38vLlLJx6Hdg1smfsJcYz7XSnHvj0n2HQ7Jc3WV7f1r1fe17p2lHbC9rusfPm1fvW8ZlRHtPip8dxqHCCwCNR1N6x3zZXidktRk1ZVGxeMdKzw3v_-Y_IkwnXmslIzZP6m-n9LfA5sqUEIDvIQSIGLkhAQe07ys61j_4I4lmknnNTXtprUHi9Ewm60zxbrP-lOK0JPuu-Bz2RYfWyVjRG-nuZNJXOf1PMjbsOd63w3Pew.OML4U0oHePdHe7fWOEOF9MVLzVEF45dFQjySiP8SIqY%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140416%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-193-spons%26xpid%3DWwPqgK5ulXO5v%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,44.79,,99.95842999999999,0.44808626946221547,0.37024287054668836,-1.87195615035009,1,0,2,4,0
"Boto-x Stock Solution Facial Serum 60ml, Boto-x Stock Anti Aging Serum For Face, Instant Face Tightening Boto-x, Reduce Fine Lines, Wrinkles, Boost Skin Collagen, Hydrate & Plump Skin",SAR 46.90,3.8 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo0MTk3NzI5OTkyMDk4NzYxOjE3NDcxNDA0MTE6c3BfYXRmOjMwMDQ3NTk2MDgwNDgzMjo6MDo6&url=%2FDERMA-Kojic-Acid-Face-Serum%2Fdp%2FB09H3CYJF3%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.SNYishUX6RoK2b_7uh7J2yPQTVr537v-cOA53XUcIZU2SApffDOKKvlZGw54alTNomqXd0qOD3nFwGH4eOHNdgs0t7mKbU1Gw5v1ttCG4Hwq2Yl0GopgP25I2C2JiY4ed3Xbcji80Gq1cti1ExhCekkYh54ee0yLmIM4rf2RCjScVkNG3oI0zB58vQUVfOcOx9yntZoNDYTiMFRi1z4K5X32xO76y7NrPe0w0A5KvMqDytTleBKH0zUoTkmdOqKIBt4sUMtLHnv54bmMFFMKLesHcsO42fVUazcPROjxudo.6IZ63QU9tNy93nGPUbjY5RGXFeMwNYUozuLzUhxP0mE%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140411%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,46.9,3.8,60.0,0.7816666666666666,0.5775492558088988,-1.294512663022859,1,0,2,4,0
"DERMA CLINICALS Copper Peptide + Matrixyl 3000, Collagen, Hyaluronic Acid Serum for face, Multi Peptide Firming and Plumping Serum, Anti-Wrinkle, Anti-Aging Face Serum - 8oz",SAR 157.91,5.0 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4OTQ1NTY4OTMyNjgzMTI2OjE3NDcxNDA0MTU6c3BfYXRmX25leHQ6MzAwMDI1NzE5MDU0NjMyOjowOjo&url=%2Fhealthy-hydration-moisturizer-hydrated-niacinamide%2Fdp%2FB09XBGFPKZ%2Fref%3Dsr_1_145_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.vztpGckNyCgcofK_Pp8HjkYwQvJ_vJTmO2CsJrLxYk4txay1Nv1K_A0s7VcKkAytGjKw1Va1E3vUFyoWvvi3p9CPlJFmv_34350qxLJJb9oZfjtRoYZ53_oGuC49fEHrDjKnzOhEZBSSX4jg89SMhEJo4ALEb9LNLfoQa_5DaxKDag3vdzeKgBVo0u7IFtTulratSQYcTwTFHxryZksktPytQuP9xuNTtroXjm7g9OzrO0Z0yzzZEzaCg14j57d_nhv-noNyS4mKfaST-6_Ipm78Uo3ZdSm9yA9h-4Tyf5o.g5buDGc6yHNMExkzTrh5bjzjrT44baS1E3nlbL6q4jE%26dib_tag%3Dse%26keywords%3Dface%2Bserum%26qid%3D1747140415%26sprefix%3Dface%2Bserum%252Caps%252C181%26sr%3D8-145-spons%26xpid%3DWwPqgK5ulXO5v%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,157.91,5.0,236.588,0.6674472078042842,0.511293838818784,-1.4790644267936681,1,0,2,4,0
