name,price,price_numeric
Watermans Shampoo Grow Me 250ml,79.93 SAR,79.93
Ducray Kelual DS Anti-Dandruff Treatment Shampoo 100 ml,49.30 SAR,49.30
Ducray Anaphase+ Anti-Hair Loss Complement Shampoo 200 ml,49.30 SAR,49.30
Nahdi Anti Lice Shampoo 200 ml,45.00 SAR,45.00
Dicora Urban Fit Shampoo Smooth & Shine - 800 ml,15.97 SAR,15.97
Natura Siberica Oblepikha Shampoo For Normal And Oily Hair 400Ml,21.79 SAR,21.79
Ducray Elution Rebalancing shampoo 200ml,38.35 SAR,38.35
Ducray Shampoo Extra-Doux Delicate Hair 400 Ml,65.75 SAR,65.75
Phyto Paris Purple Shampoo No Yellow 250ml,51.18 SAR,51.18
Violet Crush Intensive Purple Shampoo 250ml,40.00 SAR,40.00
Ducray Squanorm Anti-dandruff treatment shampoo - Oily dandruff 200 ml,47.09 SAR,47.09
Ducray Sabal Shampoo For Oily Hair 200ml,56.99 SAR,56.99
Nuxe Hair Prodigieux High Shine Shampoo 400ml,72.59 SAR,72.59
Creightons Curl Company Shampoo 250 ml,10.97 SAR,10.97
Anivagene Shampoo Anti-Dandruff 200 ml,58.95 SAR,58.95
Phyto Paris Hair Loss Shampoo Women Invigorating 250ml,62.10 SAR,62.10
Ducray Nutricerat Hair Shampoo Dry Hair 200 Ml,49.30 SAR,49.30
Ice Shampoo Refresh My Scalp 250ml,14.38 SAR,14.38
Phyto Paris Volume Shampoo 250ml,51.18 SAR,51.18
Ducray Squanorm Anti-dandruff Treatment Shampoo - Dry Dandruff 200 ml,47.09 SAR,47.09
Watermans Shampoo Grow Me 250ml,79.93 SAR,79.93
Ducray Kelual DS Anti-Dandruff Treatment Shampoo 100 ml,49.30 SAR,49.30
Ducray Anaphase+ Anti-Hair Loss Complement Shampoo 200 ml,49.30 SAR,49.30
Nahdi Anti Lice Shampoo 200 ml,45.00 SAR,45.00
Dicora Urban Fit Shampoo Smooth & Shine - 800 ml,15.97 SAR,15.97
Natura Siberica Oblepikha Shampoo For Normal And Oily Hair 400Ml,21.79 SAR,21.79
Ducray Elution Rebalancing shampoo 200ml,38.35 SAR,38.35
