name,price,price_numeric
Creightons Curl Styling Cream Gel with Moringa Oil 150 ml,12.56 SAR,12.56
Giovanni La Hold Styling Gel 200ml,39.94 SAR,39.94
Cantu Avocado Styling Gel 524 gm,29.95 SAR,29.95
Cantu Maximum Hold Styling Gel 524g,29.95 SAR,29.95
Gatsby Styling Gel Strong Hold - 150 gm,15.87 SAR,15.87
Gatsby Styling Gel Wet & Hard - 150 gm,15.87 SAR,15.87
Gatsby Styling Gel Ultra Hold - 150 gm,15.87 SAR,15.87
Nishman Ultra Hold Hair Styling Gel Gum Effect 5 + 300 ml,14.95 SAR,14.95
Nishman Styling Cream - Cream Gel - No.6 - Extra Hold 100 Ml,13.80 SAR,13.80
Dermacol Eyebrow Lifting Eyebrow Styling Wax Gel No. 02,22.11 SAR,22.11
Nishman Styling Cream Gel - No.6 - Extra Hold 150 ml,16.68 SAR,16.68
Dermacol Eyebrow Lifting Eyebrow Styling Wax Gel No 01,22.11 SAR,22.11
Dermacol Eyebrow Lifting Eyebrow Styling Wax Gel No. 03,22.11 SAR,22.11
Cantu Moisture Retention Styling Gel 524g,25.00 SAR,25.00
New Wave Gel Ultra Strong 24h Hold 200 ml,26.40 SAR,26.40
Got2B Glued Styling Spiking Glue 150Ml,48.07 SAR,48.07
Cantu Define & Shine Custard 340 gm,37.44 SAR,37.44
Dabur Vatika Hair Gel Strong Hold 250 ml,6.03 SAR,6.03
Cantu Moisturizing Twist & Lock Gel 370 gm,37.44 SAR,37.44
New Wave Gel Absolute Freeze Effect 200 ml,26.40 SAR,26.40
Creightons Curl Styling Cream Gel with Moringa Oil 150 ml,12.56 SAR,12.56
Giovanni La Hold Styling Gel 200ml,39.94 SAR,39.94
Cantu Avocado Styling Gel 524 gm,29.95 SAR,29.95
Cantu Maximum Hold Styling Gel 524g,29.95 SAR,29.95
Gatsby Styling Gel Strong Hold - 150 gm,15.87 SAR,15.87
Gatsby Styling Gel Wet & Hard - 150 gm,15.87 SAR,15.87
Gatsby Styling Gel Ultra Hold - 150 gm,15.87 SAR,15.87
Nishman Ultra Hold Hair Styling Gel Gum Effect 5 + 300 ml,14.95 SAR,14.95
Nishman Styling Cream - Cream Gel - No.6 - Extra Hold 100 Ml,13.80 SAR,13.80
Dermacol Eyebrow Lifting Eyebrow Styling Wax Gel No. 02,22.11 SAR,22.11
Nishman Styling Cream Gel - No.6 - Extra Hold 150 ml,16.68 SAR,16.68
Dermacol Eyebrow Lifting Eyebrow Styling Wax Gel No 01,22.11 SAR,22.11
Dermacol Eyebrow Lifting Eyebrow Styling Wax Gel No. 03,22.11 SAR,22.11
Cantu Moisture Retention Styling Gel 524g,25.00 SAR,25.00
New Wave Gel Ultra Strong 24h Hold 200 ml,26.40 SAR,26.40
Got2B Glued Styling Spiking Glue 150Ml,48.07 SAR,48.07
Cantu Define & Shine Custard 340 gm,37.44 SAR,37.44
Dabur Vatika Hair Gel Strong Hold 250 ml,6.03 SAR,6.03
Cantu Moisturizing Twist & Lock Gel 370 gm,37.44 SAR,37.44
New Wave Gel Absolute Freeze Effect 200 ml,26.40 SAR,26.40
Dabur Vatika Gel Cream Wet Look 250 ml,8.20 SAR,8.20
Dabur Vatika Hair Gel Wet Look 250 ml,6.03 SAR,6.03
Dabur Vatika Hair Gel Extreme Hold 250 ml,6.03 SAR,6.03
Studio Line Hair Gel Extreme Hold 150 Ml,51.69 SAR,51.69
Dabur Vatika Hair Gel Strong Hold Tube 150 ml,6.30 SAR,6.30
Taft Power Wax 75 ml,28.18 SAR,28.18
Dabur Vatika Gel Cream Strong Hold 250 ml,8.20 SAR,8.20
Dabur Vatika Hair food Lemon and avacado 150 gm,10.05 SAR,10.05
Dabur Vatika Gel Cream Extreme Hold 250 ml,8.20 SAR,8.20
New Wave Gel Strong Wet Look 200 ml,26.40 SAR,26.40
Taft Ultra Wax 75 ml,28.18 SAR,28.18
Taft Ultimate Wax 75ml,28.18 SAR,28.18
Casanova Hair Cream Anti Dandruf 150 ml,7.59 SAR,7.59
Sunsilk Hair Cream Dream Soft & Smooth Egg 175 ml,13.23 SAR,13.23
Sunsilk Hair Cream Ginseng & Soya 175 Ml,16.15 SAR,16.15
Kerastase Curl Manifesto Curl Defining Gelcream 150ml,139.23 SAR,139.23
Mielle Organics Rosemary Mint Edge Hair Gel 57 gm,34.95 SAR,34.95
CHI Cream Gel Black Seed Oil Curl Defining 148 ml,87.75 SAR,87.75
