name,price,page,url,price_numeric,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
Annika Maya Mineral Sheer Tint (Light),324,6,https://www.noon.com/saudi-en/search/?q=tint&page=6,324.0,,5.783825182329737,1.388358062016531,0,1,3,3,2
"CLIO PROFESSIONAL CLIO Crystal Glam Tint |Glossy Finish, Lightweight, Weightless, Buildable, Glass-Like, Smoothing, Long-Lasting, Vivid, Transparent, Shiny, Moisturizing, Hydrating (001 Vintage Apple)",251.20,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,251.2,,5.5302224235308195,1.150625194082486,0,1,3,3,2
CLIO PROFESSIONAL Clio Crystal Glam Tint (011 Mellow Fig),229,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,229.0,,5.438079308923196,1.0642481885649133,0,1,3,3,2
CLIO PROFESSIONAL Clio Crystal Glam Tint Glossy Finish Lightweight Weightless Buildable Glasslike Smoothing Longlasting Vivid Transparent Shiny Moisturizing Hydrating (001 Vintage Apple),230,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,230.0,,5.442417710521793,1.0683151027387534,0,1,3,3,2
"CLIO PROFESSIONAL Clio Crystal Glam Tint |Glossy Finish, Lightweight, Weightless, Buildable, Glass-Like, Smoothing, Long-Lasting, Vivid, Transparent, Shiny, Moisturizing, Hydrating (001 Vintage Apple)",230,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,230.0,,5.442417710521793,1.0683151027387534,0,1,3,3,2
"CLIO PROFESSIONAL Clio Crystal Glam Tint |Glossy Finish, Lightweight, Weightless, Buildable, Glass-Like, Smoothing, Long-Lasting, Vivid, Transparent, Shiny, Moisturizing, Hydrating (06 Daily Mauve)",230,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,230.0,,5.442417710521793,1.0683151027387534,0,1,3,3,2
CLIO PROFESSIONAL Crystal Glam Tint 001 Vintage Apple,252.80,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,252.8,,5.536546555280287,1.1565535758757841,0,1,3,3,2
CLIO PROFESSIONAL Crystal Glam Tint 006 Daily Mauve,252.80,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,252.8,,5.536546555280287,1.1565535758757841,0,1,3,3,2
"COLORGRAM Fruity Glass Tint Mini Set 03 Cool Best Set, Portable & Cute Mini Size, Moisturizing, Long Lasting",276,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,276.0,,5.6240175061873385,1.2385507912000053,0,1,3,3,2
COLORGRAM Nude Blur Tint 05 Vintage Red | Lightweight Lip Blur Tint For Full Coverage & Smooth Finish,244,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,244.0,,5.501258210544727,1.1234734964698592,0,1,3,3,2
COLORKEY Soft Matte Water Tint | Matte Finishs | Longlasting | Moist Fit Without Stickiness | Moisturized | Waterproof (P307 Aquatic Flowers),201,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,201.0,,5.308267697401205,0.9425598960383629,0,1,3,3,2
NWK 100 Pieces Tint 3 Colors,"1,000",5,https://www.noon.com/saudi-en/search/?q=tint&page=5,1000.0,,6.90875477931522,2.4428920922527566,0,1,0,0,2
NWK 120 Pieces Tint 3 Colors,"1,170",6,https://www.noon.com/saudi-en/search/?q=tint&page=6,1170.0,,7.065613363597717,2.5899348187521154,0,1,0,0,2
NWK 140 Pieces Tint 3 Colors,"1,365",5,https://www.noon.com/saudi-en/search/?q=tint&page=5,1365.0,,7.2196420401307355,2.7343247267708763,0,1,0,0,2
NWK 20 Pieces Tint 3 Colors,228,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,228.0,,5.43372200355424,1.0601635535761922,0,1,3,3,2
NWK 40 Pieces Tint 3 Colors,430,5,https://www.noon.com/saudi-en/search/?q=tint&page=5,430.0,,6.066108090103747,1.652976339639792,0,1,3,3,2
NWK 60 Pieces Tint 3 Colors,630,5,https://www.noon.com/saudi-en/search/?q=tint&page=5,630.0,,6.447305862541213,2.01031961193236,0,1,0,0,2
NWK 80 Pieces Tint 3 Colors,800,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,800.0,,6.68586094706836,2.2339464552422723,0,1,0,0,2
Peach C River Glow Tint 01 Hey Cherry,139,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,139.0,,4.941642422609304,0.598877207229388,0,1,3,2,2
"Peripera Ink The Velvet Lip Tint | High Pigment Color, Longwear, Weightless, Not Animal Tested, Gluten-Free, Paraben-Free (027 Strawberry Nude)",166,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,166.0,,5.117993812416755,0.7641929232793155,0,1,3,3,2
