name,price,page,url,price_numeric,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
ANATASIA 3-Piece Tint Lips,11.10,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,11.1,,2.4932054526026954,-1.6963420782080465,1,0,1,4,0
Baby Bright Baby Bright Sweet Cafe Shiny Tint 01,29,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,29.0,,3.4011973816621555,-0.8451702440426824,1,0,1,4,0
Baby Bright Baby Bright Sweet Cafe Shiny Tint 01,29,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,29.0,,3.4011973816621555,-0.8451702440426824,1,0,1,4,0
Essence What A Tint Kiss From A Rose,18,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,18.0,,2.9444389791664403,-1.2733457319299324,1,0,1,4,0
"Generic Jelly Lip & Cheek Tint, Cooling Water Jelly Tint, Long Lasting Buildable Multi-Use Jelly Tint Blush Stick, Natural Lip and Cheek Stain Stick 03",13.50,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,13.5,,2.6741486494265287,-1.5267219001082024,1,0,1,4,0
MAKE OVER 22 TINT My Lip Cheek and Lips Tint Pink,24.80,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,24.8,,3.250374491927572,-0.9865549761982688,1,0,1,4,0
MAKE OVER 22 TINT My Lip Cheek and Lips Tint Red,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675,1,0,1,4,0
MAKE OVER 22 TINT My Lip Cheek and Lips Tint-CORAL,24.80,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,24.8,,3.250374491927572,-0.9865549761982688,1,0,1,4,0
MAKE OVER 22 Water Tint My Lip #1 Cheery,24.90,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,24.9,,3.254242968705492,-0.9829285800056297,1,0,1,4,0
MAKE OVER 22 Water Tint My Lip #2 Strawberry,24.80,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,24.8,,3.250374491927572,-0.9865549761982688,1,0,1,4,0
Oh! My Tint Oh My Tint Orange Fruit Lip Tint - Orange,20,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,20.0,,3.044522437723423,-1.1795252713474225,1,0,1,4,0
Oh! My Tint Oh My Tint Pink Flower Lip Tint - Pink,24,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,24.0,,3.2188758248682006,-1.0160825274425416,1,0,1,4,0
Oh! My Tint Tint Lips Pink Flower,25,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,25.0,,3.258096538021482,-0.979316158399446,1,0,1,4,0
REVOLUTION Revolution Relove Baby Tint Coral Lip & Cheek Tint,16,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,16.0,,2.833213344056216,-1.3776111166906126,1,0,1,4,0
REVOLUTION Revolution Relove Baby Tint Fuchsia Lip & Cheek Tint,17,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,17.0,,2.8903717578961645,-1.3240295479683803,1,0,1,4,0
ROSE BERRY 3-Piece Lip Tint Waterproof  Stain Multicolour,14,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,14.0,,2.70805020110221,-1.494941831368239,1,0,1,4,0
Revlon Ki** Cushion Lip Tint 260 Crimson Feels,16,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,16.0,,2.833213344056216,-1.3776111166906126,1,0,1,4,0
SHEGLAM Take A Hint Lip Tint Level Up,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675,1,0,1,4,0
SHEGLAM Take A Hint Lip Tint Memories,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675,1,0,1,4,0
SHEGLAM Take A Hint Lip Tint-Primp Primp,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675,1,0,1,4,0
Tint Crown Orange Skin Tag Remover 120ml,35,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,35.0,120.0,3.58351893845611,-0.6742579606428237,1,0,1,1,0
Tinte Cosmetics Lips And Cheeks Tint Orange,20,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,20.0,,3.044522437723423,-1.1795252713474225,1,0,1,4,0
Tinte Cosmetics Tint Lips And Cheeks Dark Pink,18,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,18.0,,2.9444389791664403,-1.2733457319299324,1,0,1,4,0
Voloria I'm Tattoo Velvet Tint 5grams,13.70,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,13.7,,2.6878474937846906,-1.5138802986521624,1,0,1,4,0
Voloria I'm Tattoo Velvet Tint 5grams,17,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,17.0,,2.8903717578961645,-1.3240295479683803,1,0,1,4,0
Voloria I'm Tattoo Velvet Tint 5grams,18.45,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,18.45,,2.9678470700644555,-1.2514024667683006,1,0,1,4,0
