name,price,page,url,price_numeric,volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
3ce Blur Water Tint Bake Beige,95.50,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,95.5,,4.56954300834494,0.25006293829714116,0,2,2,2,1
Amuse Jel-Fit Tint 03 Nupink 3.8g,62.95,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,62.95,,4.158101528024852,-0.13563145858865863,1,2,2,1,1
Amuse Jel-Fit Tint 08 Gorgeous Mauve 3.8g,62.95,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,62.95,,4.158101528024852,-0.13563145858865863,1,2,2,1,1
Amuse Jel-Fit Tint 3.8g,81.20,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,81.2,,4.409155302062135,0.09971193432321541,1,2,2,2,1
Artix Oil Paint Set - Flesh Tint,51.05,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,51.05,,3.952204795060978,-0.32864363660113527,1,2,2,1,1
Baby Bright Lip Cheek Matte TINT 11,45,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,45.0,,3.828641396489095,-0.4444747153058538,1,2,2,1,1
CLIO Clio Crystal Glam Tint- 06 Daily Mauve,55,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,55.0,,4.02535169073515,-0.2600741093158216,1,2,2,1,1
Earth Rhythm Tinted Lippies With Spf 30 Rose Bud Lip & Cheek Tint Blush For Women Enriched With Shea Butter & Almond Oil Chemical & Paraben Free 10 Gm,89,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,89.0,,4.499809670330265,0.18469335590238672,0,2,2,2,1
Generic Headlight Taillight Tint Vinyl Film Protector Sticker,58.40,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,58.4,,4.084294226368599,-0.20482006513345832,1,2,2,1,1
Generic Headlight Taillight Tint Vinyl Film Protector Sticker,98.65,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,98.65,,4.6016640466588035,0.28017391420110926,0,2,2,2,1
Generic Headlight Taillight Tint Vinyl Film Protector Sticker,99,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,99.0,,4.605170185988092,0.2834606472085722,0,2,2,2,1
Generic Headlight Taillight Tint Vinyl Film Protector Sticker 30 x 100 Centimeter,99,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,99.0,,4.605170185988092,0.2834606472085722,0,2,2,2,1
Generic Headlight Taillight Tint Vinyl Film Protector Sticker 30 x 120 Centimeter,99,4,https://www.noon.com/saudi-en/search/?q=tint&page=4,99.0,,4.605170185988092,0.2834606472085722,0,2,2,2,1
"Insight Cosmetics Lip & Cheek Tint|Enriched With Vitamin E | Multipurpose|Lightweight Formula|100% Paraben Free| Long Lasting, B07-01",75,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,75.0,,4.330733340286331,0.02619744272118094,1,2,2,2,1
Just Herbs Lip And Cheek Tint -01 Brick Red,47.50,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,47.5,,3.8815637979434374,-0.3948640788313764,1,2,2,1,1
KIKO MILANO Golden Oasis Lips And Cheeck Tint  01,103.95,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,103.95,,4.653484046266642,0.32875113465982087,0,2,2,2,1
KIKO MILANO Golden Oasis Lips And Cheeck Tint  02,103.95,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,103.95,,4.653484046266642,0.32875113465982087,0,2,2,2,1
KIKO MILANO Golden Oasis Lips And Cheeck Tint  03,103.95,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,103.95,,4.653484046266642,0.32875113465982087,0,2,2,2,1
Lotus Organics+ Beet Red Lip & Cheek Tint |Natural Organic & Youthful Glow|All Skin Types|10Gm,104,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,104.0,,4.653960350157523,0.3291976325233442,0,2,2,2,1
MAKE OVER 22 TINT My Lip Cheek and Lips Tint Set - 4 Tints,96.60,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,96.6,,4.580877493419047,0.26068813676100955,0,2,2,2,1
MAYBELLINE NEW YORK Super Stay Teddy Tint Plushwear And Transferproof 15 Skinnydip,53.80,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,53.8,,4.00369019395397,-0.28038007829629746,1,2,2,1,1
"MILK MAKEUP Cooling Water Jelly Tint Lip + Cheek Blush Stain, Blush Stick for Cheeks, Jelly Blush Stick, Longlasting Non-Stick, Paraben-Free, 0.17 oz (Chill)",40.60,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,40.6,5.027495,3.728100167267218,-0.5387243002935431,1,2,2,1,1
"MILK MAKEUP Cooling Water Jelly Tint Lip + Cheek Blush Stain, Blush Stick for Cheeks, Jelly Blush Stick, Longlasting Non-Stick, Paraben-Free, 0.17 oz (Chill)",69,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,69.0,5.027495,4.248495242049359,-0.05089438009616783,1,2,2,1,1
Makeup Revolution Pout Tint Sweet Pink,49,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,49.0,,3.912023005428146,-0.36631094011698484,1,2,2,1,1
Makeup Revolution Pout Tint Sweetie Coral,42,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,42.0,,3.7612001156935624,-0.5076956722725713,1,2,2,1,1
NIBEMINENT Film Handle Squeegee Tint Tool,64.90,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,64.9,,4.188138441508461,-0.10747418766556423,1,2,2,1,1
NIBEMINENT Headlight Taillight Tint Vinyl Film Protector Sticker,64.90,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,64.9,,4.188138441508461,-0.10747418766556423,1,2,2,1,1
